+---------------------------------------+-----+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                         |  ID | Effects                                                                                                                                                                                 |
| apotheosis:strong_fatigue             | 184 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}               |
| apotheosis:strong_haste               | 181 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                           |
| apotheosis:strong_knowledge           | 193 | PotionEffect:{Potion:[reg:apotheosis:knowledge,name:effect.apotheosis.knowledge,isBad:false,isBeneficial:true],amplifier:1,duration:1200,isSplashPotion:false,isAmbient:false}          |
| apotheosis:strong_resistance          | 175 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                    |
| apotheosis:strong_sundering           | 190 | PotionEffect:{Potion:[reg:apotheosis:sundering,name:effect.apotheosis.sundering,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}          |
| apotheosis:strong_wither              | 187 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                            |
| apotheosis:sundering                  | 188 | PotionEffect:{Potion:[reg:apotheosis:sundering,name:effect.apotheosis.sundering,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}          |
| apotheosis:wither                     | 185 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                            |
| minecraft:awkward                     |   4 |                                                                                                                                                                                         |
| minecraft:empty                       |   0 |                                                                                                                                                                                         |
| minecraft:fire_resistance             |  12 | PotionEffect:{Potion:[reg:minecraft:fire_resistance,name:effect.fireResistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}           |
| minecraft:harming                     |  23 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.harm,isBad:true,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                          |
| minecraft:healing                     |  21 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.heal,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                         |
| minecraft:invisibility                |   7 | PotionEffect:{Potion:[reg:minecraft:invisibility,name:effect.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                |
| minecraft:leaping                     |   9 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                          |
| minecraft:long_fire_resistance        |  13 | PotionEffect:{Potion:[reg:minecraft:fire_resistance,name:effect.fireResistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}           |
| minecraft:long_invisibility           |   8 | PotionEffect:{Potion:[reg:minecraft:invisibility,name:effect.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                |
| minecraft:long_leaping                |  10 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                          |
| minecraft:long_night_vision           |   6 | PotionEffect:{Potion:[reg:minecraft:night_vision,name:effect.nightVision,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                 |
| minecraft:long_poison                 |  26 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.poison,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                            |
| minecraft:long_regeneration           |  29 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                |
| minecraft:long_slowness               |  18 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.moveSlowdown,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isSplashPotion:false,isAmbient:false}                    |
| minecraft:long_strength               |  32 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                     |
| minecraft:long_swiftness              |  15 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                          |
| minecraft:long_water_breathing        |  20 | PotionEffect:{Potion:[reg:minecraft:water_breathing,name:effect.waterBreathing,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}           |
| minecraft:long_weakness               |  35 | PotionEffect:{Potion:[reg:minecraft:weakness,name:effect.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isSplashPotion:false,isAmbient:false}                        |
| minecraft:luck                        |  36 | PotionEffect:{Potion:[reg:minecraft:luck,name:effect.luck,isBad:false,isBeneficial:true],amplifier:0,duration:6000,isSplashPotion:false,isAmbient:false}                                |
| minecraft:mundane                     |   2 |                                                                                                                                                                                         |
| minecraft:night_vision                |   5 | PotionEffect:{Potion:[reg:minecraft:night_vision,name:effect.nightVision,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                 |
| minecraft:poison                      |  25 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.poison,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                             |
| minecraft:regeneration                |  28 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                 |
| minecraft:slowness                    |  17 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.moveSlowdown,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                    |
| minecraft:strength                    |  31 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                     |
| minecraft:strong_harming              |  24 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.harm,isBad:true,isBeneficial:true],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                          |
| minecraft:strong_healing              |  22 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.heal,isBad:false,isBeneficial:true],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                         |
| minecraft:strong_leaping              |  11 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                          |
| minecraft:strong_poison               |  27 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.poison,isBad:true,isBeneficial:false],amplifier:1,duration:432,isSplashPotion:false,isAmbient:false}                             |
| minecraft:strong_regeneration         |  30 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.regeneration,isBad:false,isBeneficial:true],amplifier:1,duration:450,isSplashPotion:false,isAmbient:false}                 |
| minecraft:strong_strength             |  33 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                     |
| minecraft:strong_swiftness            |  16 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                          |
| minecraft:swiftness                   |  14 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                          |
| minecraft:thick                       |   3 |                                                                                                                                                                                         |
| minecraft:water                       |   1 |                                                                                                                                                                                         |
| minecraft:water_breathing             |  19 | PotionEffect:{Potion:[reg:minecraft:water_breathing,name:effect.waterBreathing,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}           |
| minecraft:weakness                    |  34 | PotionEffect:{Potion:[reg:minecraft:weakness,name:effect.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                        |
| nex:normal_freeze                     |  37 | PotionEffect:{Potion:[reg:nex:freeze,name:potion.effect.nex:freeze,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                        |
| nex:normal_frostbite                  |  38 | PotionEffect:{Potion:[reg:nex:frostbite,name:potion.effect.nex:frostbite,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                  |
| nex:normal_lost                       |  40 | PotionEffect:{Potion:[reg:nex:lost,name:potion.effect.nex:lost,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                            |
| nex:normal_spore                      |  39 | PotionEffect:{Potion:[reg:nex:spore,name:potion.effect.nex:spore,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                          |
| potioncore:absorption                 |  57 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                    |
| potioncore:antidote                   | 161 | PotionEffect:{Potion:[reg:potioncore:antidote,name:effect.antidote,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                       |
| potioncore:archery                    | 170 | PotionEffect:{Potion:[reg:potioncore:archery,name:effect.archery,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                         |
| potioncore:bless                      | 150 | PotionEffect:{Potion:[reg:potioncore:bless,name:effect.bless,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                |
| potioncore:blindness                  |  49 | PotionEffect:{Potion:[reg:minecraft:blindness,name:effect.blindness,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                       |
| potioncore:broken_armor               | 152 | PotionEffect:{Potion:[reg:potioncore:broken_armor,name:effect.broken_armor,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                |
| potioncore:broken_magic_shield        |  87 | PotionEffect:{Potion:[reg:potioncore:broken_magic_shield,name:effect.broken_magic_shield,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}  |
| potioncore:burst                      | 168 | PotionEffect:{Potion:[reg:potioncore:burst,name:effect.burst,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                |
| potioncore:chance                     | 135 | PotionEffect:{Potion:[reg:potioncore:chance,name:effect.chance,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                              |
| potioncore:climb                      | 115 | PotionEffect:{Potion:[reg:potioncore:climb,name:effect.climb,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                             |
| potioncore:cure                       | 107 | PotionEffect:{Potion:[reg:potioncore:cure,name:effect.cure,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                  |
| potioncore:curse                      | 166 | PotionEffect:{Potion:[reg:potioncore:curse,name:effect.curse,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                |
| potioncore:diamond_skin               |  98 | PotionEffect:{Potion:[reg:potioncore:diamond_skin,name:effect.diamond_skin,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}               |
| potioncore:disorganization            | 114 | PotionEffect:{Potion:[reg:potioncore:disorganization,name:effect.disorganization,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}            |
| potioncore:dispel                     | 143 | PotionEffect:{Potion:[reg:potioncore:dispel,name:effect.dispel,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                              |
| potioncore:drown                      | 111 | PotionEffect:{Potion:[reg:potioncore:drown,name:effect.drown,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                             |
| potioncore:explode                    | 125 | PotionEffect:{Potion:[reg:potioncore:explode,name:effect.explode,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                            |
| potioncore:extension                  |  81 | PotionEffect:{Potion:[reg:potioncore:extension,name:effect.extension,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                     |
| potioncore:fire                       | 129 | PotionEffect:{Potion:[reg:potioncore:fire,name:effect.fire,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                  |
| potioncore:flight                     |  79 | PotionEffect:{Potion:[reg:potioncore:flight,name:effect.flight,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                           |
| potioncore:glowing                    |  60 | PotionEffect:{Potion:[reg:minecraft:glowing,name:effect.glowing,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                         |
| potioncore:haste                      |  62 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                           |
| potioncore:health_boost               |  68 | PotionEffect:{Potion:[reg:minecraft:health_boost,name:effect.healthBoost,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                 |
| potioncore:hunger                     |  46 | PotionEffect:{Potion:[reg:minecraft:hunger,name:effect.hunger,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                             |
| potioncore:invert                     | 137 | PotionEffect:{Potion:[reg:potioncore:invert,name:effect.invert,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                              |
| potioncore:iron_skin                  |  90 | PotionEffect:{Potion:[reg:potioncore:iron_skin,name:effect.iron_skin,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                     |
| potioncore:klutz                      | 147 | PotionEffect:{Potion:[reg:potioncore:klutz,name:effect.klutz,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                             |
| potioncore:launch                     | 141 | PotionEffect:{Potion:[reg:potioncore:launch,name:effect.launch,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                              |
| potioncore:levitation                 |  54 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                     |
| potioncore:lightning                  | 131 | PotionEffect:{Potion:[reg:potioncore:lightning,name:effect.lightning,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                        |
| potioncore:long_absorption            |  59 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                    |
| potioncore:long_antidote              | 162 | PotionEffect:{Potion:[reg:potioncore:antidote,name:effect.antidote,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                       |
| potioncore:long_archery               | 172 | PotionEffect:{Potion:[reg:potioncore:archery,name:effect.archery,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                         |
| potioncore:long_blindness             |  51 | PotionEffect:{Potion:[reg:minecraft:blindness,name:effect.blindness,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                      |
| potioncore:long_broken_armor          | 154 | PotionEffect:{Potion:[reg:potioncore:broken_armor,name:effect.broken_armor,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}               |
| potioncore:long_broken_magic_shield   |  89 | PotionEffect:{Potion:[reg:potioncore:broken_magic_shield,name:effect.broken_magic_shield,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false} |
| potioncore:long_climb                 | 116 | PotionEffect:{Potion:[reg:potioncore:climb,name:effect.climb,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                             |
| potioncore:long_diamond_skin          | 100 | PotionEffect:{Potion:[reg:potioncore:diamond_skin,name:effect.diamond_skin,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}               |
| potioncore:long_drown                 | 112 | PotionEffect:{Potion:[reg:potioncore:drown,name:effect.drown,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                             |
| potioncore:long_extension             |  83 | PotionEffect:{Potion:[reg:potioncore:extension,name:effect.extension,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                     |
| potioncore:long_flight                |  80 | PotionEffect:{Potion:[reg:potioncore:flight,name:effect.flight,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                           |
| potioncore:long_glowing               |  61 | PotionEffect:{Potion:[reg:minecraft:glowing,name:effect.glowing,isBad:false,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                         |
| potioncore:long_haste                 |  64 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                           |
| potioncore:long_health_boost          |  70 | PotionEffect:{Potion:[reg:minecraft:health_boost,name:effect.healthBoost,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                 |
| potioncore:long_hunger                |  48 | PotionEffect:{Potion:[reg:minecraft:hunger,name:effect.hunger,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                            |
| potioncore:long_iron_skin             |  92 | PotionEffect:{Potion:[reg:potioncore:iron_skin,name:effect.iron_skin,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                     |
| potioncore:long_klutz                 | 149 | PotionEffect:{Potion:[reg:potioncore:klutz,name:effect.klutz,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                             |
| potioncore:long_levitation            |  56 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                    |
| potioncore:long_magic_focus           | 106 | PotionEffect:{Potion:[reg:potioncore:magic_focus,name:effect.magic_focus,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                 |
| potioncore:long_magic_inhibition      | 134 | PotionEffect:{Potion:[reg:potioncore:magic_inhibition,name:effect.magic_inhibition,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}       |
| potioncore:long_magic_shield          | 157 | PotionEffect:{Potion:[reg:potioncore:magic_shield,name:effect.magic_shield,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}               |
| potioncore:long_mining_fatigue        |  67 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}               |
| potioncore:long_nausea                |  53 | PotionEffect:{Potion:[reg:minecraft:nausea,name:effect.confusion,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                         |
| potioncore:long_perplexity            | 118 | PotionEffect:{Potion:[reg:potioncore:perplexity,name:effect.perplexity,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                   |
| potioncore:long_purity                |  94 | PotionEffect:{Potion:[reg:potioncore:purity,name:effect.purity,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                           |
| potioncore:long_reach                 |  97 | PotionEffect:{Potion:[reg:potioncore:reach,name:effect.reach,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                             |
| potioncore:long_recoil                |  86 | PotionEffect:{Potion:[reg:potioncore:recoil,name:effect.recoil,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                           |
| potioncore:long_repair                |  78 | PotionEffect:{Potion:[reg:potioncore:repair,name:effect.repair,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                           |
| potioncore:long_resistance            |  73 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                    |
| potioncore:long_revival               | 146 | PotionEffect:{Potion:[reg:potioncore:revival,name:effect.revival,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                         |
| potioncore:long_rust                  | 121 | PotionEffect:{Potion:[reg:potioncore:rust,name:effect.rust,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                               |
| potioncore:long_slow_fall             | 160 | PotionEffect:{Potion:[reg:potioncore:slow_fall,name:effect.slow_fall,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                     |
| potioncore:long_solid_core            | 128 | PotionEffect:{Potion:[reg:potioncore:solid_core,name:effect.solid_core,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                   |
| potioncore:long_spin                  | 165 | PotionEffect:{Potion:[reg:potioncore:spin,name:effect.spin,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                               |
| potioncore:long_step_up               | 110 | PotionEffect:{Potion:[reg:potioncore:step_up,name:effect.step_up,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                         |
| potioncore:long_vulnerable            | 124 | PotionEffect:{Potion:[reg:potioncore:vulnerable,name:effect.vulnerable,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                   |
| potioncore:long_weight                | 140 | PotionEffect:{Potion:[reg:potioncore:weight,name:effect.weight,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                           |
| potioncore:long_wither                |  45 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                            |
| potioncore:love                       |  75 | PotionEffect:{Potion:[reg:potioncore:love,name:effect.love,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                  |
| potioncore:magic_focus                | 104 | PotionEffect:{Potion:[reg:potioncore:magic_focus,name:effect.magic_focus,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                 |
| potioncore:magic_inhibition           | 132 | PotionEffect:{Potion:[reg:potioncore:magic_inhibition,name:effect.magic_inhibition,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}       |
| potioncore:magic_shield               | 155 | PotionEffect:{Potion:[reg:potioncore:magic_shield,name:effect.magic_shield,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}               |
| potioncore:mining_fatigue             |  65 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}               |
| potioncore:nausea                     |  52 | PotionEffect:{Potion:[reg:minecraft:nausea,name:effect.confusion,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                          |
| potioncore:perplexity                 | 117 | PotionEffect:{Potion:[reg:potioncore:perplexity,name:effect.perplexity,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                   |
| potioncore:purity                     |  93 | PotionEffect:{Potion:[reg:potioncore:purity,name:effect.purity,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                           |
