+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+----------+
| Class                                                                                                          | Registry name                                              | Ticking? |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorHV                                      | immersiveengineering:capacitorhv                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorLV                                      | immersiveengineering:capacitorlv                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorMV                                      | immersiveengineering:capacitormv                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityChargingStation                                  | immersiveengineering:chargingstation                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorHV                                      | immersiveengineering:connectorhv                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorLV                                      | immersiveengineering:connectorlv                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorMV                                      | immersiveengineering:connectormv                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorProbe                                   | immersiveengineering:connectorprobe                        |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorRedstone                                | immersiveengineering:connectorredstone                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorStructural                              | immersiveengineering:connectorstructural                   |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConveyorBelt                                     | immersiveengineering:conveyorbelt                          |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConveyorVertical                                 | immersiveengineering:conveyorvertical                      |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCrusher                                          | immersiveengineering:crusher                               |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityDieselGenerator                                  | immersiveengineering:dieselgenerator                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityDynamo                                           | immersiveengineering:dynamo                                |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityElectricLantern                                  | immersiveengineering:electriclantern                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityEnergyMeter                                      | immersiveengineering:energymeter                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityExcavator                                        | immersiveengineering:excavator                             |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFeedthrough                                      | immersiveengineering:feedthrough                           |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFermenter                                        | immersiveengineering:fermenter                             |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFloodlight                                       | immersiveengineering:floodlight                            |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFluidPipe                                        | immersiveengineering:fluidpipe                             |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFluidPlacer                                      | immersiveengineering:fluidplacer                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFluidPump                                        | immersiveengineering:fluidpump                             |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFurnaceHeater                                    | immersiveengineering:furnaceheater                         |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityLadder                                           | immersiveengineering:ladder                                |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityLantern                                          | immersiveengineering:lantern                               |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityLightningrod                                     | immersiveengineering:lightningrod                          |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityMetalBarrel                                      | immersiveengineering:metalbarrel                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityMetalPress                                       | immersiveengineering:metalpress                            |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityMixer                                            | immersiveengineering:mixer                                 |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRazorWire                                        | immersiveengineering:razorwire                             |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRedstoneBreaker                                  | immersiveengineering:redstonebreaker                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRefinery                                         | immersiveengineering:refinery                              |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRelayHV                                          | immersiveengineering:relayhv                               |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRelayLV                                          | immersiveengineering:relaylv                               |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRelayMV                                          | immersiveengineering:relaymv                               |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntitySampleDrill                                      | immersiveengineering:sampledrill                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntitySheetmetalTank                                   | immersiveengineering:sheetmetaltank                        |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntitySilo                                             | immersiveengineering:silo                                  |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntitySqueezer                                         | immersiveengineering:squeezer                              |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityStructuralArm                                    | immersiveengineering:structuralarm                         |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTeslaCoil                                        | immersiveengineering:teslacoil                             |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityThermoelectricGen                                | immersiveengineering:thermoelectricgen                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityToolbox                                          | immersiveengineering:toolbox                               |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTransformer                                      | immersiveengineering:transformer                           |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTransformerHV                                    | immersiveengineering:transformerhv                         |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTurret                                           | immersiveengineering:turret                                |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTurretChem                                       | immersiveengineering:turretchem                            |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTurretGun                                        | immersiveengineering:turretgun                             |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityAlloySmelter                                     | immersiveengineering:alloysmelter                          |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityBlastFurnace                                     | immersiveengineering:blastfurnace                          |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityBlastFurnaceAdvanced                             | immersiveengineering:blastfurnaceadvanced                  |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityCokeOven                                         | immersiveengineering:cokeoven                              |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityCoresample                                       | immersiveengineering:coresample                            |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityFluidSorter                                     | immersiveengineering:fluidsorter                           |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityModWorkbench                                    | immersiveengineering:modworkbench                          |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntitySorter                                          | immersiveengineering:sorter                                |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityTurntable                                       | immersiveengineering:turntable                             |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWallmount                                       | immersiveengineering:wallmount                             |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWatermill                                       | immersiveengineering:watermill                             |      yes |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWindmill                                        | immersiveengineering:windmill                              |      yes |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWoodenBarrel                                    | immersiveengineering:woodenbarrel                          |      yes |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWoodenCrate                                     | immersiveengineering:woodencrate                           |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWoodenPost                                      | immersiveengineering:woodenpost                            |        - |
| com.gw.dm.blocks.TileEntityBladeTrap                                                                           | minecraft:dungeonmobs.bladetrap                            |      yes |
| com.m4thg33k.tombmanygraves.tiles.TileGrave                                                                    | minecraft:tile.tombmanygravesgrave_block                   |        - |
| com.mushroom.midnight.common.tile.base.TileEntityMidnightChest                                                 | midnight:tile_shadowroot_chest                             |      yes |
| com.mushroom.midnight.common.tile.base.TileEntityMidnightFurnace                                               | midnight:tile_midnight_furnace                             |      yes |
| com.shinoow.beneath.common.block.tile.TileEntityTeleporterDeepDank                                             | minecraft:tileentityteleporterbeneath                      |        - |
| com.tmtravlr.qualitytools.reforging.TileEntityReforgingStation                                                 | minecraft:qualitytools.reforging_station                   |        - |
| com.wiresegal.naturalpledge.common.block.BlockCorporeaResonator$TileCorporeaResonator                          | naturalpledge:resonator                                    |        - |
| com.wiresegal.naturalpledge.common.block.BlockEnderBind$TileEnderBind                                          | naturalpledge:actuator                                     |        - |
| com.wiresegal.naturalpledge.common.block.BlockGayBeacon$TileGayBeacon                                          | naturalpledge:gay                                          |      yes |
| com.wiresegal.naturalpledge.common.block.tile.TileCracklingStar                                                | naturalpledge:cracklingstar                                |      yes |
| com.wiresegal.naturalpledge.common.block.tile.TileLivingwoodFunnel                                             | naturalpledge:funnel                                       |      yes |
| com.wiresegal.naturalpledge.common.block.tile.TilePrismFlame                                                   | naturalpledge:prismflame                                   |      yes |
| com.wiresegal.naturalpledge.common.block.tile.TileStar                                                         | naturalpledge:star                                         |        - |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityCopperChest                                               | minecraft:ironchest.copper                                 |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityCrystalChest                                              | minecraft:ironchest.crystal                                |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityDiamondChest                                              | minecraft:ironchest.diamond                                |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityDirtChest                                                 | minecraft:ironchest.dirtchest9000                          |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityGoldChest                                                 | minecraft:ironchest.gold                                   |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityIronChest                                                 | minecraft:ironchest.iron                                   |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntityObsidianChest                                             | minecraft:ironchest.obsidian                               |      yes |
| cpw.mods.ironchest.common.tileentity.chest.TileEntitySilverChest                                               | minecraft:ironchest.silver                                 |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityCopperShulkerBox                                        | minecraft:ironshulkerbox.copper                            |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityCrystalShulkerBox                                       | minecraft:ironshulkerbox.crystal                           |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityDiamondShulkerBox                                       | minecraft:ironshulkerbox.diamond                           |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityGoldShulkerBox                                          | minecraft:ironshulkerbox.gold                              |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityIronShulkerBox                                          | minecraft:ironshulkerbox.iron                              |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntityObsidianShulkerBox                                      | minecraft:ironshulkerbox.obsidian                          |      yes |
| cpw.mods.ironchest.common.tileentity.shulker.TileEntitySilverShulkerBox                                        | minecraft:ironshulkerbox.silver                            |      yes |
| cursedflames.bountifulbaubles.block.TileReforger                                                               | bountifulbaubles:tileentity_tile.bountifulbaubles.reforger |        - |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityAutoLubricator                                      | immersivepetroleum:autolubricator                          |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityDistillationTower                                   | immersivepetroleum:distillationtower                       |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityDistillationTower$TileEntityDistillationTowerParent | immersivepetroleum:distillationtowerparent                 |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityGasGenerator                                        | immersivepetroleum:gasgenerator                            |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityPumpjack                                            | immersivepetroleum:pumpjack                                |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityPumpjack$TileEntityPumpjackParent                   | immersivepetroleum:pumpjackparent                          |      yes |
| hellfirepvp.astralsorcery.common.tile.TileAltar                                                                | astralsorcery:tilealtar                                    |      yes |
| hellfirepvp.astralsorcery.common.tile.TileAttunementAltar                                                      | astralsorcery:tileattunementaltar                          |      yes |
| hellfirepvp.astralsorcery.common.tile.TileAttunementRelay                                                      | astralsorcery:tileattunementrelay                          |      yes |
| hellfirepvp.astralsorcery.common.tile.TileBore                                                                 | astralsorcery:tilebore                                     |      yes |
| hellfirepvp.astralsorcery.common.tile.TileCelestialCrystals                                                    | astralsorcery:tilecelestialcrystals                        |      yes |
| hellfirepvp.astralsorcery.common.tile.TileCelestialGateway                                                     | astralsorcery:tilecelestialgateway                         |      yes |
| hellfirepvp.astralsorcery.common.tile.TileChalice                                                              | astralsorcery:tilechalice                                  |      yes |
| hellfirepvp.astralsorcery.common.tile.TileFakeTree                                                             | astralsorcery:tilefaketree                                 |      yes |
| hellfirepvp.astralsorcery.common.tile.TileGemCrystals                                                          | astralsorcery:tilegemcrystals                              |      yes |
| hellfirepvp.astralsorcery.common.tile.TileGrindstone                                                           | astralsorcery:tilegrindstone                               |      yes |
| hellfirepvp.astralsorcery.common.tile.TileIlluminator                                                          | astralsorcery:tileilluminator                              |      yes |
| hellfirepvp.astralsorcery.common.tile.TileMapDrawingTable                                                      | astralsorcery:tilemapdrawingtable                          |      yes |
| hellfirepvp.astralsorcery.common.tile.TileObservatory                                                          | astralsorcery:tileobservatory                              |      yes |
| hellfirepvp.astralsorcery.common.tile.TileOreGenerator                                                         | astralsorcery:tileoregenerator                             |        - |
| hellfirepvp.astralsorcery.common.tile.TileRitualLink                                                           | astralsorcery:tilerituallink                               |      yes |
| hellfirepvp.astralsorcery.common.tile.TileRitualPedestal                                                       | astralsorcery:tileritualpedestal                           |      yes |
| hellfirepvp.astralsorcery.common.tile.TileStarlightInfuser                                                     | astralsorcery:tilestarlightinfuser                         |      yes |
| hellfirepvp.astralsorcery.common.tile.TileStructController                                                     | astralsorcery:tilestructcontroller                         |      yes |
| hellfirepvp.astralsorcery.common.tile.TileStructuralConnector                                                  | astralsorcery:tilestructuralconnector                      |        - |
| hellfirepvp.astralsorcery.common.tile.TileTelescope                                                            | astralsorcery:tiletelescope                                |        - |
| hellfirepvp.astralsorcery.common.tile.TileTranslucent                                                          | astralsorcery:tiletranslucent                              |        - |
| hellfirepvp.astralsorcery.common.tile.TileTreeBeacon                                                           | astralsorcery:tiletreebeacon                               |      yes |
| hellfirepvp.astralsorcery.common.tile.TileVanishing                                                            | astralsorcery:tilevanishing                                |      yes |
| hellfirepvp.astralsorcery.common.tile.TileWell                                                                 | astralsorcery:tilewell                                     |      yes |
| hellfirepvp.astralsorcery.common.tile.network.TileCollectorCrystal                                             | astralsorcery:tilecollectorcrystal                         |      yes |
| hellfirepvp.astralsorcery.common.tile.network.TileCrystalLens                                                  | astralsorcery:tilecrystallens                              |      yes |
| hellfirepvp.astralsorcery.common.tile.network.TileCrystalPrismLens                                             | astralsorcery:tilecrystalprismlens                         |      yes |
| moze_intel.projecte.gameObjs.tiles.AlchChestTile                                                               | projecte:alchemical_chest                                  |      yes |
| moze_intel.projecte.gameObjs.tiles.CollectorMK1Tile                                                            | projecte:collector_mk1                                     |      yes |
| moze_intel.projecte.gameObjs.tiles.CollectorMK2Tile                                                            | projecte:collector_mk2                                     |      yes |
| moze_intel.projecte.gameObjs.tiles.CollectorMK3Tile                                                            | projecte:collector_mk3                                     |      yes |
| moze_intel.projecte.gameObjs.tiles.CondenserMK2Tile                                                            | projecte:condenser_mk2                                     |      yes |
| moze_intel.projecte.gameObjs.tiles.CondenserTile                                                               | projecte:condenser                                         |      yes |
| moze_intel.projecte.gameObjs.tiles.DMFurnaceTile                                                               | projecte:dm_furnace                                        |      yes |
| moze_intel.projecte.gameObjs.tiles.DMPedestalTile                                                              | projecte:dm_pedestal                                       |      yes |
| moze_intel.projecte.gameObjs.tiles.InterdictionTile                                                            | projecte:interdiction_torch                                |      yes |
| moze_intel.projecte.gameObjs.tiles.RMFurnaceTile                                                               | projecte:rm_furnace                                        |      yes |
| moze_intel.projecte.gameObjs.tiles.RelayMK1Tile                                                                | projecte:relay_mk1                                         |      yes |
| moze_intel.projecte.gameObjs.tiles.RelayMK2Tile                                                                | projecte:relay_mk2                                         |      yes |
| moze_intel.projecte.gameObjs.tiles.RelayMK3Tile                                                                | projecte:relay_mk3                                         |      yes |
| net.blay09.mods.waystones.block.TileWaystone                                                                   | waystones:waystone                                         |        - |
| net.minecraft.block.BlockJukebox$TileEntityJukebox                                                             | minecraft:jukebox                                          |        - |
| net.minecraft.tileentity.TileEntityBanner                                                                      | minecraft:banner                                           |        - |
| net.minecraft.tileentity.TileEntityBeacon                                                                      | minecraft:beacon                                           |      yes |
| net.minecraft.tileentity.TileEntityBed                                                                         | minecraft:bed                                              |        - |
| net.minecraft.tileentity.TileEntityBrewingStand                                                                | minecraft:brewing_stand                                    |      yes |
| net.minecraft.tileentity.TileEntityChest                                                                       | minecraft:chest                                            |      yes |
| net.minecraft.tileentity.TileEntityCommandBlock                                                                | minecraft:command_block                                    |        - |
| net.minecraft.tileentity.TileEntityComparator                                                                  | minecraft:comparator                                       |        - |
| net.minecraft.tileentity.TileEntityDaylightDetector                                                            | minecraft:daylight_detector                                |      yes |
| net.minecraft.tileentity.TileEntityDispenser                                                                   | minecraft:dispenser                                        |        - |
| net.minecraft.tileentity.TileEntityDropper                                                                     | minecraft:dropper                                          |        - |
| net.minecraft.tileentity.TileEntityEnchantmentTable                                                            | minecraft:enchanting_table                                 |      yes |
| net.minecraft.tileentity.TileEntityEndGateway                                                                  | minecraft:end_gateway                                      |      yes |
| net.minecraft.tileentity.TileEntityEndPortal                                                                   | minecraft:end_portal                                       |        - |
| net.minecraft.tileentity.TileEntityEnderChest                                                                  | minecraft:ender_chest                                      |      yes |
| net.minecraft.tileentity.TileEntityFlowerPot                                                                   | minecraft:flower_pot                                       |        - |
| net.minecraft.tileentity.TileEntityFurnace                                                                     | minecraft:furnace                                          |      yes |
| net.minecraft.tileentity.TileEntityHopper                                                                      | minecraft:hopper                                           |      yes |
| net.minecraft.tileentity.TileEntityNote                                                                        | minecraft:noteblock                                        |        - |
| net.minecraft.tileentity.TileEntityPiston                                                                      | minecraft:piston                                           |      yes |
| net.minecraft.tileentity.TileEntityShulkerBox                                                                  | minecraft:shulker_box                                      |      yes |
| net.minecraft.tileentity.TileEntitySign                                                                        | minecraft:sign                                             |        - |
| net.minecraft.tileentity.TileEntitySkull                                                                       | minecraft:skull                                            |      yes |
| net.minecraft.tileentity.TileEntityStructure                                                                   | minecraft:structure_block                                  |        - |
| nex.tileentity.TileEntityUrnOfSorrow                                                                           | nex:urn_of_sorrow                                          |      yes |
| quaternary.botaniatweaks.modules.botania.tile.TileCompressedTinyPotato                                         | botania_tweaks:compressed_tiny_potato                      |      yes |
| quaternary.botaniatweaks.modules.botania.tile.TileCustomAgglomerationPlate                                     | botania_tweaks:custom_agglomeration_plate                  |      yes |
| quaternary.botaniatweaks.modules.botania.tile.TileCustomCraftyCrate                                            | botania_tweaks:custom_crafty_crate                         |      yes |
| quaternary.botaniatweaks.modules.botania.tile.TileNerfedManaFluxfield                                          | botania_tweaks:tweaked_fluxfield                           |      yes |
| ru.poopycoders.improvedbackpacks.tiles.TileEntityBackpack                                                      | minecraft:backpack                                         |        - |
| ru.poopycoders.improvedbackpacks.tiles.TileEntityEnderBackpack                                                 | minecraft:ender_backpack                                   |        - |
| shadows.ench.altar.TilePrismaticAltar                                                                          | apotheosis:prismatic_altar                                 |      yes |
| shadows.ench.anvil.TileAnvil                                                                                   | apotheosis:anvil                                           |        - |
| shadows.spawn.TileSpawnerExt                                                                                   | minecraft:mob_spawner                                      |      yes |
| teamroots.embers.tileentity.TileEntityActivatorBottom                                                          | embers:tile_entity_activator_bottom                        |      yes |
| teamroots.embers.tileentity.TileEntityActivatorTop                                                             | embers:tile_entity_activator_top                           |      yes |
| teamroots.embers.tileentity.TileEntityAlchemyPedestal                                                          | embers:tile_entity_alchemy_pedestal                        |      yes |
| teamroots.embers.tileentity.TileEntityAlchemyTablet                                                            | embers:tile_entity_alchemy_tablet                          |      yes |
| teamroots.embers.tileentity.TileEntityArchaicGeysir                                                            | embers:tile_entity_archaic_geysir                          |      yes |
| teamroots.embers.tileentity.TileEntityAutoHammer                                                               | embers:tile_entity_auto_hammer                             |      yes |
| teamroots.embers.tileentity.TileEntityBeamCannon                                                               | embers:tile_entity_beam_cannon                             |      yes |
| teamroots.embers.tileentity.TileEntityBeamSplitter                                                             | embers:tile_entity_beam_splitter                           |      yes |
| teamroots.embers.tileentity.TileEntityBin                                                                      | embers:tile_entity_bin                                     |      yes |
| teamroots.embers.tileentity.TileEntityBoilerBottom                                                             | embers:tile_entity_boiler_bottom                           |      yes |
| teamroots.embers.tileentity.TileEntityBoilerTop                                                                | embers:tile_entity_boiler_top                              |      yes |
| teamroots.embers.tileentity.TileEntityBreaker                                                                  | embers:tile_entity_breaker                                 |      yes |
| teamroots.embers.tileentity.TileEntityCatalyticPlug                                                            | embers:tile_entity_catalytic_plug                          |      yes |
| teamroots.embers.tileentity.TileEntityCatalyzer                                                                | embers:tile_entity_catalyzer                               |      yes |
| teamroots.embers.tileentity.TileEntityCharger                                                                  | embers:tile_entity_charger                                 |      yes |
| teamroots.embers.tileentity.TileEntityCinderPlinth                                                             | embers:tile_entity_cinder_plinth                           |      yes |
| teamroots.embers.tileentity.TileEntityClockworkAttenuator                                                      | embers:tile_entity_clockwork_attenuator                    |      yes |
| teamroots.embers.tileentity.TileEntityCombustor                                                                | embers:tile_entity_combustor                               |      yes |
| teamroots.embers.tileentity.TileEntityCopperCell                                                               | embers:tile_entity_copper_cell                             |        - |
| teamroots.embers.tileentity.TileEntityCreativeEmberSource                                                      | embers:tile_entity_creative_ember_source                   |      yes |
| teamroots.embers.tileentity.TileEntityCrystalCell                                                              | embers:tile_entity_crystal_cell                            |      yes |
| teamroots.embers.tileentity.TileEntityDawnstoneAnvil                                                           | embers:tile_entity_dawnstone_anvil                         |        - |
| teamroots.embers.tileentity.TileEntityDropper                                                                  | embers:tile_entity_dropper                                 |      yes |
| teamroots.embers.tileentity.TileEntityEmberBore                                                                | embers:tile_entity_ember_bore                              |      yes |
| teamroots.embers.tileentity.TileEntityEmberFunnel                                                              | embers:tile_entity_ember_funnel                            |      yes |
| teamroots.embers.tileentity.TileEntityEmberGauge                                                               | embers:tile_entity_ember_gauge                             |      yes |
| teamroots.embers.tileentity.TileEntityEmberInjector                                                            | embers:tile_entity_ember_injector                          |      yes |
| teamroots.embers.tileentity.TileEntityEmberPipe                                                                | embers:tile_entity_ember_pipe                              |      yes |
| teamroots.embers.tileentity.TileEntityEmberSiphon                                                              | embers:tile_entity_ember_siphon                            |        - |
| teamroots.embers.tileentity.TileEntityEmitter                                                                  | embers:tile_entity_emitter                                 |      yes |
| teamroots.embers.tileentity.TileEntityExplosionPedestal                                                        | embers:tile_entity_explosion_pedestal                      |      yes |
| teamroots.embers.tileentity.TileEntityFieldChart                                                               | embers:tile_entity_field_chart                             |      yes |
| teamroots.embers.tileentity.TileEntityFluidExtractor                                                           | embers:tile_entity_pump                                    |      yes |
| teamroots.embers.tileentity.TileEntityFluidGauge                                                               | embers:tile_entity_fluid_gauge                             |      yes |
| teamroots.embers.tileentity.TileEntityFluidPipe                                                                | embers:tile_entity_pipe                                    |      yes |
| teamroots.embers.tileentity.TileEntityFluidTransfer                                                            | embers:tile_entity_fluid_transfer                          |      yes |
| teamroots.embers.tileentity.TileEntityFurnaceBottom                                                            | embers:tile_entity_furnace_bottom                          |      yes |
| teamroots.embers.tileentity.TileEntityFurnaceTop                                                               | embers:tile_entity_furnace_top                             |      yes |
| teamroots.embers.tileentity.TileEntityGeoSeparator                                                             | embers:tile_entity_geo_separator                           |      yes |
| teamroots.embers.tileentity.TileEntityHeatCoil                                                                 | embers:tile_entity_heat_coil                               |      yes |
| teamroots.embers.tileentity.TileEntityInfernoForge                                                             | embers:tile_entity_inferno_forge                           |      yes |
| teamroots.embers.tileentity.TileEntityInfernoForgeOpening                                                      | embers:tile_entity_inferno_forge_opening                   |      yes |
| teamroots.embers.tileentity.TileEntityItemExtractor                                                            | embers:tile_entity_item_pump                               |      yes |
| teamroots.embers.tileentity.TileEntityItemPipe                                                                 | embers:tile_entity_item_pipe                               |      yes |
| teamroots.embers.tileentity.TileEntityItemRequisition                                                          | embers:tile_entity_item_request                            |      yes |
| teamroots.embers.tileentity.TileEntityItemTransfer                                                             | embers:tile_entity_item_transfer                           |      yes |
| teamroots.embers.tileentity.TileEntityItemVacuum                                                               | embers:tile_entity_vacuum                                  |      yes |
| teamroots.embers.tileentity.TileEntityKnowledgeTable                                                           | embers:tile_entity_knowledge_table                         |      yes |
| teamroots.embers.tileentity.TileEntityLargeTank                                                                | embers:tile_entity_large_tank                              |      yes |
| teamroots.embers.tileentity.TileEntityMechAccessor                                                             | embers:tile_entity_mech_accessor                           |        - |
| teamroots.embers.tileentity.TileEntityMechCore                                                                 | embers:tile_entity_mech_core                               |        - |
| teamroots.embers.tileentity.TileEntityMiniBoiler                                                               | embers:tile_entity_mini_boiler                             |      yes |
| teamroots.embers.tileentity.TileEntityMixerBottom                                                              | embers:tile_entity_mixer_bottom                            |      yes |
| teamroots.embers.tileentity.TileEntityMixerTop                                                                 | embers:tile_entity_mixer_top                               |        - |
