+-----+--------------------------------------------+-----------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name            | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for                  |
|  50 | midnight:crystal_spires                    | Crystal Spires        |  0.50 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, PLAINS                                 | stronghold                 |
|  51 | midnight:night_plains                      | Night Plains          |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS, SPOOKY                                  | stronghold                 |
|  52 | midnight:obscured_plateau                  | Obscured Plateau      |  0.50 | MEDIUM   | 0.50 | false | false   |            | MOUNTAIN, SPARSE, SPOOKY                        | stronghold                 |
|  53 | midnight:phantasmal_valley                 | Phantasmal Valley     |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS, SPOOKY                                  |                            |
|  54 | midnight:runebush_grove                    | Runebush Grove        |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, SPOOKY                           | stronghold                 |
|  55 | midnight:hilly_vigilant_forest             | Hilly Vigilant Forest |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, HILLS, SPOOKY                           | stronghold                 |
|  56 | midnight:hilly_fungi_forest                | Hilly Fungi Forest    |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, HILLS, SPOOKY                           | stronghold                 |
|  57 | beneath:the_beneath                        | The Beneath           |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                            | stronghold                 |
| 127 | minecraft:void                             | The Void              |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                            | stronghold                 |
| 129 | minecraft:mutated_plains                   | Sunflower Plains      |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                    | stronghold, village        |
| 130 | minecraft:mutated_desert                   | Desert M              |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                           | stronghold                 |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M       |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold, village        |
| 132 | minecraft:mutated_forest                   | Flower Forest         |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                             | stronghold, village        |
| 133 | minecraft:mutated_taiga                    | Taiga M               |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE        | stronghold, village        |
| 134 | minecraft:mutated_swampland                | Swampland M           |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                         | village                    |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes     |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                        | stronghold, village        |
| 149 | minecraft:mutated_jungle                   | Jungle M              |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET         | stronghold, village        |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M          |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                | stronghold, village        |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M        |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold, village        |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M  |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE                   | stronghold, village        |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M       |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY           | stronghold, village        |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M          | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY | stronghold, village        |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga     |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, RARE                             | stronghold, village        |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold, village        |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M      |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold, village        |
| 163 | minecraft:mutated_savanna                  | Savanna M             |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE       | stronghold                 |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M     |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE          | stronghold                 |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold, village        |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M      |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                   | stronghold, village        |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M        |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold, village        |
+-----+--------------------------------------------+-----------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name            | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for                  |
+-----+--------------------------------------------+-----------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
