+-----------------------------+-------------------------------------------+----------+---------------------------------+-----+
| OreDict Key                 | Registry name                             | Meta/dmg | Display name                    | NBT |
| dye                         | naturalpledge:dye_shard                   |        2 | Magenta Iridescent Shard        |     |
| dye                         | naturalpledge:dye_shard                   |        3 | Light Blue Iridescent Shard     |     |
| dye                         | naturalpledge:dye_shard                   |        4 | Yellow Iridescent Shard         |     |
| dye                         | naturalpledge:dye_shard                   |        5 | Lime Iridescent Shard           |     |
| dye                         | naturalpledge:dye_shard                   |        6 | Pink Iridescent Shard           |     |
| dye                         | naturalpledge:dye_shard                   |        7 | Gray Iridescent Shard           |     |
| dye                         | naturalpledge:dye_shard                   |        8 | Light Gray Iridescent Shard     |     |
| dye                         | naturalpledge:dye_shard                   |        9 | Cyan Iridescent Shard           |     |
| dye                         | naturalpledge:dye_shard                   |       10 | Purple Iridescent Shard         |     |
| dye                         | naturalpledge:dye_shard                   |       11 | Blue Iridescent Shard           |     |
| dye                         | naturalpledge:dye_shard                   |       12 | Brown Iridescent Shard          |     |
| dye                         | naturalpledge:dye_shard                   |       13 | Green Iridescent Shard          |     |
| dye                         | naturalpledge:dye_shard                   |       14 | Red Iridescent Shard            |     |
| dye                         | naturalpledge:dye_shard                   |       15 | Black Iridescent Shard          |     |
| dye                         | naturalpledge:dye_shard                   |       16 | Bifrost Iridescent Shard        |     |
| dye                         | naturalpledge:iris_dye                    |        0 | White Iridescent Crystal        |     |
| dye                         | naturalpledge:iris_dye                    |        1 | Orange Iridescent Crystal       |     |
| dye                         | naturalpledge:iris_dye                    |        2 | Magenta Iridescent Crystal      |     |
| dye                         | naturalpledge:iris_dye                    |        3 | Light Blue Iridescent Crystal   |     |
| dye                         | naturalpledge:iris_dye                    |        4 | Yellow Iridescent Crystal       |     |
| dye                         | naturalpledge:iris_dye                    |        5 | Lime Iridescent Crystal         |     |
| dye                         | naturalpledge:iris_dye                    |        6 | Pink Iridescent Crystal         |     |
| dye                         | naturalpledge:iris_dye                    |        7 | Gray Iridescent Crystal         |     |
| dye                         | naturalpledge:iris_dye                    |        8 | Light Gray Iridescent Crystal   |     |
| dye                         | naturalpledge:iris_dye                    |        9 | Cyan Iridescent Crystal         |     |
| dye                         | naturalpledge:iris_dye                    |       10 | Purple Iridescent Crystal       |     |
| dye                         | naturalpledge:iris_dye                    |       11 | Blue Iridescent Crystal         |     |
| dye                         | naturalpledge:iris_dye                    |       12 | Brown Iridescent Crystal        |     |
| dye                         | naturalpledge:iris_dye                    |       13 | Green Iridescent Crystal        |     |
| dye                         | naturalpledge:iris_dye                    |       14 | Red Iridescent Crystal          |     |
| dye                         | naturalpledge:iris_dye                    |       15 | Black Iridescent Crystal        |     |
| dye                         | naturalpledge:iris_dye                    |       16 | Bifrost Iridescent Crystal      |     |
| dye                         | naturalpledge:iris_dye_awakened           |        0 | White Awakened Crystal          |     |
| dye                         | naturalpledge:iris_dye_awakened           |        1 | Orange Awakened Crystal         |     |
| dye                         | naturalpledge:iris_dye_awakened           |        2 | Magenta Awakened Crystal        |     |
| dye                         | naturalpledge:iris_dye_awakened           |        3 | Light Blue Awakened Crystal     |     |
| dye                         | naturalpledge:iris_dye_awakened           |        4 | Yellow Awakened Crystal         |     |
| dye                         | naturalpledge:iris_dye_awakened           |        5 | Lime Awakened Crystal           |     |
| dye                         | naturalpledge:iris_dye_awakened           |        6 | Pink Awakened Crystal           |     |
| dye                         | naturalpledge:iris_dye_awakened           |        7 | Gray Awakened Crystal           |     |
| dye                         | naturalpledge:iris_dye_awakened           |        8 | Light Gray Awakened Crystal     |     |
| dye                         | naturalpledge:iris_dye_awakened           |        9 | Cyan Awakened Crystal           |     |
| dye                         | naturalpledge:iris_dye_awakened           |       10 | Purple Awakened Crystal         |     |
| dye                         | naturalpledge:iris_dye_awakened           |       11 | Blue Awakened Crystal           |     |
| dye                         | naturalpledge:iris_dye_awakened           |       12 | Brown Awakened Crystal          |     |
| dye                         | naturalpledge:iris_dye_awakened           |       13 | Green Awakened Crystal          |     |
| dye                         | naturalpledge:iris_dye_awakened           |       14 | Red Awakened Crystal            |     |
| dye                         | naturalpledge:iris_dye_awakened           |       15 | Black Awakened Crystal          |     |
| dye                         | naturalpledge:iris_dye_awakened           |       16 | Bifrost Awakened Crystal        |     |
| dyeBlack                    | botania:dye                               |       15 | Floral Black Powder             |     |
| dyeBlack                    | minecraft:dye                             |        0 | Ink Sac                         |     |
| dyeBlack                    | naturalpledge:dye_shard                   |       15 | Black Iridescent Shard          |     |
| dyeBlack                    | naturalpledge:iris_dye                    |       15 | Black Iridescent Crystal        |     |
| dyeBlack                    | naturalpledge:iris_dye_awakened           |       15 | Black Awakened Crystal          |     |
| dyeBlack                    | nex:wither_dust                           |        0 | Wither Dust                     |     |
| dyeBlack                    | pickletweaks:dye_powder                   |       15 | Black Dye Powder                |     |
| dyeBlue                     | botania:dye                               |       11 | Floral Blue Powder              |     |
| dyeBlue                     | minecraft:dye                             |        4 | Lapis Lazuli                    |     |
| dyeBlue                     | naturalpledge:dye_shard                   |       11 | Blue Iridescent Shard           |     |
| dyeBlue                     | naturalpledge:iris_dye                    |       11 | Blue Iridescent Crystal         |     |
| dyeBlue                     | naturalpledge:iris_dye_awakened           |       11 | Blue Awakened Crystal           |     |
| dyeBlue                     | pickletweaks:dye_powder                   |       11 | Blue Dye Powder                 |     |
| dyeBrown                    | botania:dye                               |       12 | Floral Brown Powder             |     |
| dyeBrown                    | minecraft:dye                             |        3 | Cocoa Beans                     |     |
| dyeBrown                    | naturalpledge:dye_shard                   |       12 | Brown Iridescent Shard          |     |
| dyeBrown                    | naturalpledge:iris_dye                    |       12 | Brown Iridescent Crystal        |     |
| dyeBrown                    | naturalpledge:iris_dye_awakened           |       12 | Brown Awakened Crystal          |     |
| dyeBrown                    | pickletweaks:dye_powder                   |       12 | Brown Dye Powder                |     |
| dyeCyan                     | botania:dye                               |        9 | Floral Cyan Powder              |     |
| dyeCyan                     | minecraft:dye                             |        6 | Cyan Dye                        |     |
| dyeCyan                     | naturalpledge:dye_shard                   |        9 | Cyan Iridescent Shard           |     |
| dyeCyan                     | naturalpledge:iris_dye                    |        9 | Cyan Iridescent Crystal         |     |
| dyeCyan                     | naturalpledge:iris_dye_awakened           |        9 | Cyan Awakened Crystal           |     |
| dyeCyan                     | pickletweaks:dye_powder                   |        9 | Cyan Dye Powder                 |     |
| dyeGray                     | botania:dye                               |        7 | Floral Gray Powder              |     |
| dyeGray                     | minecraft:dye                             |        8 | Gray Dye                        |     |
| dyeGray                     | naturalpledge:dye_shard                   |        7 | Gray Iridescent Shard           |     |
| dyeGray                     | naturalpledge:iris_dye                    |        7 | Gray Iridescent Crystal         |     |
| dyeGray                     | naturalpledge:iris_dye_awakened           |        7 | Gray Awakened Crystal           |     |
| dyeGray                     | pickletweaks:dye_powder                   |        7 | Gray Dye Powder                 |     |
| dyeGreen                    | botania:dye                               |       13 | Floral Green Powder             |     |
| dyeGreen                    | minecraft:dye                             |        2 | Cactus Green                    |     |
| dyeGreen                    | naturalpledge:dye_shard                   |       13 | Green Iridescent Shard          |     |
| dyeGreen                    | naturalpledge:iris_dye                    |       13 | Green Iridescent Crystal        |     |
| dyeGreen                    | naturalpledge:iris_dye_awakened           |       13 | Green Awakened Crystal          |     |
| dyeGreen                    | pickletweaks:dye_powder                   |       13 | Green Dye Powder                |     |
| dyeLightBlue                | botania:dye                               |        3 | Floral Light Blue Powder        |     |
| dyeLightBlue                | minecraft:dye                             |       12 | Light Blue Dye                  |     |
| dyeLightBlue                | naturalpledge:dye_shard                   |        3 | Light Blue Iridescent Shard     |     |
| dyeLightBlue                | naturalpledge:iris_dye                    |        3 | Light Blue Iridescent Crystal   |     |
| dyeLightBlue                | naturalpledge:iris_dye_awakened           |        3 | Light Blue Awakened Crystal     |     |
| dyeLightBlue                | pickletweaks:dye_powder                   |        3 | Light Blue Dye Powder           |     |
| dyeLightGray                | botania:dye                               |        8 | Floral Light Gray Powder        |     |
| dyeLightGray                | minecraft:dye                             |        7 | Light Gray Dye                  |     |
| dyeLightGray                | naturalpledge:dye_shard                   |        8 | Light Gray Iridescent Shard     |     |
| dyeLightGray                | naturalpledge:iris_dye                    |        8 | Light Gray Iridescent Crystal   |     |
| dyeLightGray                | naturalpledge:iris_dye_awakened           |        8 | Light Gray Awakened Crystal     |     |
| dyeLightGray                | pickletweaks:dye_powder                   |        8 | Light Gray Dye Powder           |     |
| dyeLime                     | botania:dye                               |        5 | Floral Lime Powder              |     |
| dyeLime                     | minecraft:dye                             |       10 | Lime Dye                        |     |
| dyeLime                     | naturalpledge:dye_shard                   |        5 | Lime Iridescent Shard           |     |
| dyeLime                     | naturalpledge:iris_dye                    |        5 | Lime Iridescent Crystal         |     |
| dyeLime                     | naturalpledge:iris_dye_awakened           |        5 | Lime Awakened Crystal           |     |
| dyeLime                     | pickletweaks:dye_powder                   |        5 | Lime Dye Powder                 |     |
| dyeMagenta                  | botania:dye                               |        2 | Floral Magenta Powder           |     |
| dyeMagenta                  | minecraft:dye                             |       13 | Magenta Dye                     |     |
| dyeMagenta                  | naturalpledge:dye_shard                   |        2 | Magenta Iridescent Shard        |     |
| dyeMagenta                  | naturalpledge:iris_dye                    |        2 | Magenta Iridescent Crystal      |     |
| dyeMagenta                  | naturalpledge:iris_dye_awakened           |        2 | Magenta Awakened Crystal        |     |
| dyeMagenta                  | pickletweaks:dye_powder                   |        2 | Magenta Dye Powder              |     |
| dyeOrange                   | botania:dye                               |        1 | Floral Orange Powder            |     |
| dyeOrange                   | minecraft:dye                             |       14 | Orange Dye                      |     |
| dyeOrange                   | naturalpledge:dye_shard                   |        1 | Orange Iridescent Shard         |     |
| dyeOrange                   | naturalpledge:iris_dye                    |        1 | Orange Iridescent Crystal       |     |
| dyeOrange                   | naturalpledge:iris_dye_awakened           |        1 | Orange Awakened Crystal         |     |
| dyeOrange                   | pickletweaks:dye_powder                   |        1 | Orange Dye Powder               |     |
| dyePink                     | botania:dye                               |        6 | Floral Pink Powder              |     |
| dyePink                     | minecraft:dye                             |        9 | Pink Dye                        |     |
| dyePink                     | naturalpledge:dye_shard                   |        6 | Pink Iridescent Shard           |     |
| dyePink                     | naturalpledge:iris_dye                    |        6 | Pink Iridescent Crystal         |     |
| dyePink                     | naturalpledge:iris_dye_awakened           |        6 | Pink Awakened Crystal           |     |
| dyePink                     | pickletweaks:dye_powder                   |        6 | Pink Dye Powder                 |     |
| dyePurple                   | botania:dye                               |       10 | Floral Purple Powder            |     |
| dyePurple                   | minecraft:dye                             |        5 | Purple Dye                      |     |
| dyePurple                   | naturalpledge:dye_shard                   |       10 | Purple Iridescent Shard         |     |
| dyePurple                   | naturalpledge:iris_dye                    |       10 | Purple Iridescent Crystal       |     |
| dyePurple                   | naturalpledge:iris_dye_awakened           |       10 | Purple Awakened Crystal         |     |
| dyePurple                   | pickletweaks:dye_powder                   |       10 | Purple Dye Powder               |     |
| dyeRainbow                  | botania:bifrostperm                       |        0 | Bifrost Block                   |     |
| dyeRainbow                  | naturalpledge:dye_shard                   |       16 | Bifrost Iridescent Shard        |     |
| dyeRainbow                  | naturalpledge:iris_dye                    |       16 | Bifrost Iridescent Crystal      |     |
| dyeRainbow                  | naturalpledge:iris_dye_awakened           |       16 | Bifrost Awakened Crystal        |     |
| dyeRed                      | botania:dye                               |       14 | Floral Red Powder               |     |
| dyeRed                      | minecraft:dye                             |        1 | Rose Red                        |     |
| dyeRed                      | naturalpledge:dye_shard                   |       14 | Red Iridescent Shard            |     |
| dyeRed                      | naturalpledge:iris_dye                    |       14 | Red Iridescent Crystal          |     |
| dyeRed                      | naturalpledge:iris_dye_awakened           |       14 | Red Awakened Crystal            |     |
| dyeRed                      | pickletweaks:dye_powder                   |       14 | Red Dye Powder                  |     |
| dyeWhite                    | botania:dye                               |        0 | Floral White Powder             |     |
| dyeWhite                    | minecraft:dye                             |       15 | Bone Meal                       |     |
| dyeWhite                    | naturalpledge:dye_shard                   |        0 | White Iridescent Shard          |     |
| dyeWhite                    | naturalpledge:iris_dye                    |        0 | White Iridescent Crystal        |     |
| dyeWhite                    | naturalpledge:iris_dye_awakened           |        0 | White Awakened Crystal          |     |
| dyeWhite                    | pickletweaks:dye_powder                   |        0 | White Dye Powder                |     |
| dyeYellow                   | botania:dye                               |        4 | Floral Yellow Powder            |     |
| dyeYellow                   | minecraft:dye                             |       11 | Dandelion Yellow                |     |
| dyeYellow                   | naturalpledge:dye_shard                   |        4 | Yellow Iridescent Shard         |     |
| dyeYellow                   | naturalpledge:iris_dye                    |        4 | Yellow Iridescent Crystal       |     |
| dyeYellow                   | naturalpledge:iris_dye_awakened           |        4 | Yellow Awakened Crystal         |     |
| dyeYellow                   | pickletweaks:dye_powder                   |        4 | Yellow Dye Powder               |     |
| egg                         | minecraft:egg                             |        0 | Egg                             |     |
| electronTube                | immersiveengineering:material             |       26 | Vacuum Tube                     |     |
| elvenDragonstone            | botania:manaresource                      |        9 | Dragonstone                     |     |
| elvenPixieDust              | botania:manaresource                      |        8 | Pixie Dust                      |     |
| enderpearl                  | minecraft:ender_pearl                     |        0 | Ender Pearl                     |     |
| endstone                    | minecraft:end_stone                       |        0 | End Stone                       |     |
| eternalLifeEssence          | botania:manaresource                      |        5 | Gaia Spirit                     |     |
| fabricHemp                  | immersiveengineering:material             |        5 | Tough Fabric                    |     |
| feather                     | minecraft:feather                         |        0 | Feather                         |     |
| fenceAluminum               | immersiveengineering:metal_decoration1    |        4 | Aluminium Fence                 |     |
| fenceGateWood               | minecraft:acacia_fence_gate               |        0 | Acacia Fence Gate               |     |
| fenceGateWood               | minecraft:birch_fence_gate                |        0 | Birch Fence Gate                |     |
| fenceGateWood               | minecraft:dark_oak_fence_gate             |        0 | Dark Oak Fence Gate             |     |
| fenceGateWood               | minecraft:fence_gate                      |        0 | Oak Fence Gate                  |     |
| fenceGateWood               | minecraft:jungle_fence_gate               |        0 | Jungle Fence Gate               |     |
| fenceGateWood               | minecraft:spruce_fence_gate               |        0 | Spruce Fence Gate               |     |
| fenceSteel                  | immersiveengineering:metal_decoration1    |        0 | Steel Fence                     |     |
| fenceTreatedWood            | immersiveengineering:wooden_decoration    |        0 | Treated Wood Fence              |     |
| fenceWood                   | minecraft:acacia_fence                    |        0 | Acacia Fence                    |     |
| fenceWood                   | minecraft:birch_fence                     |        0 | Birch Fence                     |     |
| fenceWood                   | minecraft:dark_oak_fence                  |        0 | Dark Oak Fence                  |     |
| fenceWood                   | minecraft:fence                           |        0 | Oak Fence                       |     |
| fenceWood                   | minecraft:jungle_fence                    |        0 | Jungle Fence                    |     |
| fenceWood                   | minecraft:spruce_fence                    |        0 | Spruce Fence                    |     |
| fiberHemp                   | immersiveengineering:material             |        4 | Industrial Hemp Fiber           |     |
| foodCongealedmagmacream     | nex:congealed_magma_cream                 |        0 | Congealed Magma Cream           |     |
| foodMeats                   | nex:ghast_meat_cooked                     |        0 | Cooked Ghast Meat               |     |
| foodMeats                   | nex:ghast_meat_raw                        |        0 | Raw Ghast Meat                  |     |
| fuelCoke                    | immersiveengineering:material             |        6 | Coal Coke                       |     |
| gaiaIngot                   | botania:manaresource                      |       14 | Gaia Spirit Ingot               |     |
| gemAmethyst                 | nex:amethyst_crystal                      |        0 | Nether Amethyst Crystal         |     |
