+-------------------------------------------+----------+---------------------------------+-------------------------------------------------------------+-----+
| Registry name                             | Meta/dmg | Display name                    | Ore Dict Keys                                               | NBT |
| botania:flower                            |        7 | Mystical Gray Flower            | mysticFlowerGray                                            |     |
| botania:flower                            |        8 | Mystical Light Gray Flower      | mysticFlowerLightGray                                       |     |
| botania:flower                            |        9 | Mystical Cyan Flower            | mysticFlowerCyan                                            |     |
| botania:flower                            |       10 | Mystical Purple Flower          | mysticFlowerPurple                                          |     |
| botania:flower                            |       11 | Mystical Blue Flower            | mysticFlowerBlue                                            |     |
| botania:flower                            |       12 | Mystical Brown Flower           | mysticFlowerBrown                                           |     |
| botania:flower                            |       13 | Mystical Green Flower           | mysticFlowerGreen                                           |     |
| botania:flower                            |       14 | Mystical Red Flower             | mysticFlowerRed                                             |     |
| botania:flower                            |       15 | Mystical Black Flower           | mysticFlowerBlack                                           |     |
| botania:lexicon                           |        0 | Lexica Botania                  | lexicaBotania                                               |     |
| botania:livingrock                        |        0 | Livingrock                      | livingrock                                                  |     |
| botania:livingwood                        |        0 | Livingwood                      | livingwood                                                  |     |
| botania:manaresource                      |        0 | Manasteel Ingot                 | ingotManasteel                                              |     |
| botania:manaresource                      |        1 | Mana Pearl                      | manaPearl                                                   |     |
| botania:manaresource                      |        2 | Mana Diamond                    | manaDiamond                                                 |     |
| botania:manaresource                      |        3 | Livingwood Twig                 | livingwoodTwig                                              |     |
| botania:manaresource                      |        4 | Terrasteel Ingot                | ingotTerrasteel                                             |     |
| botania:manaresource                      |        5 | Gaia Spirit                     | eternalLifeEssence                                          |     |
| botania:manaresource                      |        6 | Redstone Root                   | redstoneRoot                                                |     |
| botania:manaresource                      |        7 | Elementium Ingot                | ingotElvenElementium                                        |     |
| botania:manaresource                      |        8 | Pixie Dust                      | elvenPixieDust                                              |     |
| botania:manaresource                      |        9 | Dragonstone                     | elvenDragonstone                                            |     |
| botania:manaresource                      |       11 | Crafting Placeholder            | bPlaceholder                                                |     |
| botania:manaresource                      |       12 | Red String                      | bRedString                                                  |     |
| botania:manaresource                      |       13 | Dreamwood Twig                  | dreamwoodTwig                                               |     |
| botania:manaresource                      |       14 | Gaia Spirit Ingot               | gaiaIngot                                                   |     |
| botania:manaresource                      |       15 | Ender Air Bottle                | bEnderAirBottle                                             |     |
| botania:manaresource                      |       16 | Mana Infused String             | manaString                                                  |     |
| botania:manaresource                      |       17 | Manasteel Nugget                | nuggetManasteel                                             |     |
| botania:manaresource                      |       18 | Terrasteel Nugget               | nuggetTerrasteel                                            |     |
| botania:manaresource                      |       19 | Elementium Nugget               | nuggetElvenElementium                                       |     |
| botania:manaresource                      |       20 | Living Root                     | livingRoot                                                  |     |
| botania:manaresource                      |       21 | Pebble                          | pebble                                                      |     |
| botania:manaresource                      |       22 | Manaweave Cloth                 | clothManaweave                                              |     |
| botania:manaresource                      |       23 | Mana Powder                     | powderMana                                                  |     |
| botania:mushroom                          |        0 | White Shimmering Mushroom       | petalWhite                                                  |     |
| botania:mushroom                          |        1 | Orange Shimmering Mushroom      | petalOrange                                                 |     |
| botania:mushroom                          |        2 | Magenta Shimmering Mushroom     | petalMagenta                                                |     |
| botania:mushroom                          |        3 | Light Blue Shimmering Mushroom  | petalLightBlue                                              |     |
| botania:mushroom                          |        4 | Yellow Shimmering Mushroom      | petalYellow                                                 |     |
| botania:mushroom                          |        5 | Lime Shimmering Mushroom        | petalLime                                                   |     |
| botania:mushroom                          |        6 | Pink Shimmering Mushroom        | petalPink                                                   |     |
| botania:mushroom                          |        7 | Gray Shimmering Mushroom        | petalGray                                                   |     |
| botania:mushroom                          |        8 | Light Gray Shimmering Mushroom  | petalLightGray                                              |     |
| botania:mushroom                          |        9 | Cyan Shimmering Mushroom        | petalCyan                                                   |     |
| botania:mushroom                          |       10 | Purple Shimmering Mushroom      | petalPurple                                                 |     |
| botania:mushroom                          |       11 | Blue Shimmering Mushroom        | petalBlue                                                   |     |
| botania:mushroom                          |       12 | Brown Shimmering Mushroom       | petalBrown                                                  |     |
| botania:mushroom                          |       13 | Green Shimmering Mushroom       | petalGreen                                                  |     |
| botania:mushroom                          |       14 | Red Shimmering Mushroom         | petalRed                                                    |     |
| botania:mushroom                          |       15 | Black Shimmering Mushroom       | petalBlack                                                  |     |
| botania:pestleandmortar                   |        0 | Pestle and Mortar               | pestleAndMortar                                             |     |
| botania:petal                             |        0 | Mystical White Petal            | petalWhite                                                  |     |
| botania:petal                             |        1 | Mystical Orange Petal           | petalOrange                                                 |     |
| botania:petal                             |        2 | Mystical Magenta Petal          | petalMagenta                                                |     |
| botania:petal                             |        3 | Mystical Light Blue Petal       | petalLightBlue                                              |     |
| botania:petal                             |        4 | Mystical Yellow Petal           | petalYellow                                                 |     |
| botania:petal                             |        5 | Mystical Lime Petal             | petalLime                                                   |     |
| botania:petal                             |        6 | Mystical Pink Petal             | petalPink                                                   |     |
| botania:petal                             |        7 | Mystical Gray Petal             | petalGray                                                   |     |
| botania:petal                             |        8 | Mystical Light Gray Petal       | petalLightGray                                              |     |
| botania:petal                             |        9 | Mystical Cyan Petal             | petalCyan                                                   |     |
| botania:petal                             |       10 | Mystical Purple Petal           | petalPurple                                                 |     |
| botania:petal                             |       11 | Mystical Blue Petal             | petalBlue                                                   |     |
| botania:petal                             |       12 | Mystical Brown Petal            | petalBrown                                                  |     |
| botania:petal                             |       13 | Mystical Green Petal            | petalGreen                                                  |     |
| botania:petal                             |       14 | Mystical Red Petal              | petalRed                                                    |     |
| botania:petal                             |       15 | Mystical Black Petal            | petalBlack                                                  |     |
| botania:quartz                            |        0 | Smokey Quartz                   | quartzDark                                                  |     |
| botania:quartz                            |        1 | Mana Quartz                     | quartzMana                                                  |     |
| botania:quartz                            |        2 | Blaze Quartz                    | quartzBlaze                                                 |     |
| botania:quartz                            |        3 | Lavender Quartz                 | quartzLavender                                              |     |
| botania:quartz                            |        4 | Redquartz                       | quartzRed                                                   |     |
| botania:quartz                            |        5 | Elven Quartz                    | quartzElven                                                 |     |
| botania:quartz                            |        6 | Sunny Quartz                    | quartzSunny                                                 |     |
| botania:rune                              |        0 | Rune of Water                   | runeWaterB                                                  |     |
| botania:rune                              |        1 | Rune of Fire                    | runeFireB                                                   |     |
| botania:rune                              |        2 | Rune of Earth                   | runeEarthB                                                  |     |
| botania:rune                              |        3 | Rune of Air                     | runeAirB                                                    |     |
| botania:rune                              |        4 | Rune of Spring                  | runeSpringB                                                 |     |
| botania:rune                              |        5 | Rune of Summer                  | runeSummerB                                                 |     |
| botania:rune                              |        6 | Rune of Autumn                  | runeAutumnB                                                 |     |
| botania:rune                              |        7 | Rune of Winter                  | runeWinterB                                                 |     |
| botania:rune                              |        8 | Rune of Mana                    | runeManaB                                                   |     |
| botania:rune                              |        9 | Rune of Lust                    | runeLustB                                                   |     |
| botania:rune                              |       10 | Rune of Gluttony                | runeGluttonyB                                               |     |
| botania:rune                              |       11 | Rune of Greed                   | runeGreedB                                                  |     |
| botania:rune                              |       12 | Rune of Sloth                   | runeSlothB                                                  |     |
| botania:rune                              |       13 | Rune of Wrath                   | runeWrathB                                                  |     |
| botania:rune                              |       14 | Rune of Envy                    | runeEnvyB                                                   |     |
| botania:rune                              |       15 | Rune of Pride                   | runePrideB                                                  |     |
| botania:storage                           |        0 | Block of Manasteel              | blockManasteel                                              |     |
| botania:storage                           |        1 | Block of Terrasteel             | blockTerrasteel                                             |     |
| botania:storage                           |        2 | Block of Elementium             | blockElvenElementium                                        |     |
| botania:vial                              |        0 | Managlass Vial                  | bVial                                                       |     |
| botania:vial                              |        1 | Alfglass Flask                  | bFlask                                                      |     |
| bountifulbaubles:enderdragonscale         |        0 | Ender Dragon Scale              | scaleDragonEnder                                            |     |
| bountifulbaubles:ringiron                 |        0 | Iron Ring                       | ringIron                                                    |     |
| embers:adhesive                           |        0 | Adhesive                        | slimeball                                                   |     |
| embers:block_aluminum                     |        0 | Aluminium Block                 | blockAluminium,blockAluminum                                |     |
| embers:block_bronze                       |        0 | Bronze Block                    | blockBronze                                                 |     |
| embers:block_copper                       |        0 | Copper Block                    | blockCopper                                                 |     |
| embers:block_dawnstone                    |        0 | Dawnstone Block                 | blockDawnstone                                              |     |
| embers:block_electrum                     |        0 | Electrum Block                  | blockElectrum                                               |     |
| embers:block_lead                         |        0 | Lead Block                      | blockLead                                                   |     |
| embers:block_nickel                       |        0 | Nickel Block                    | blockNickel                                                 |     |
| embers:block_silver                       |        0 | Silver Block                    | blockSilver                                                 |     |
| embers:block_tin                          |        0 | Tin Block                       | blockTin                                                    |     |
| embers:dust_ash                           |        0 | Ash Pile                        | dustAsh,dustAshes                                           |     |
| embers:ingot_aluminum                     |        0 | Aluminium Ingot                 | ingotAluminium,ingotAluminum                                |     |
| embers:ingot_bronze                       |        0 | Bronze Ingot                    | ingotBronze                                                 |     |
| embers:ingot_copper                       |        0 | Copper Ingot                    | ingotCopper                                                 |     |
| embers:ingot_dawnstone                    |        0 | Dawnstone Ingot                 | ingotDawnstone                                              |     |
| embers:ingot_electrum                     |        0 | Electrum Ingot                  | ingotElectrum                                               |     |
| embers:ingot_lead                         |        0 | Lead Ingot                      | ingotLead                                                   |     |
| embers:ingot_nickel                       |        0 | Nickel Ingot                    | ingotNickel                                                 |     |
| embers:ingot_silver                       |        0 | Silver Ingot                    | ingotSilver                                                 |     |
| embers:ingot_tin                          |        0 | Tin Ingot                       | ingotTin                                                    |     |
| embers:nugget_aluminum                    |        0 | Aluminium Nugget                | nuggetAluminium,nuggetAluminum                              |     |
| embers:nugget_bronze                      |        0 | Bronze Nugget                   | nuggetBronze                                                |     |
| embers:nugget_copper                      |        0 | Copper Nugget                   | nuggetCopper                                                |     |
| embers:nugget_dawnstone                   |        0 | Dawnstone Nugget                | nuggetDawnstone                                             |     |
| embers:nugget_electrum                    |        0 | Electrum Nugget                 | nuggetElectrum                                              |     |
| embers:nugget_lead                        |        0 | Lead Nugget                     | nuggetLead                                                  |     |
| embers:nugget_nickel                      |        0 | Nickel Nugget                   | nuggetNickel                                                |     |
| embers:nugget_silver                      |        0 | Silver Nugget                   | nuggetSilver                                                |     |
| embers:nugget_tin                         |        0 | Tin Nugget                      | nuggetTin                                                   |     |
| embers:ore_aluminum                       |        0 | Aluminium Ore                   | oreAluminium,oreAluminum                                    |     |
| embers:ore_copper                         |        0 | Copper Ore                      | oreCopper                                                   |     |
| embers:ore_lead                           |        0 | Lead Ore                        | oreLead                                                     |     |
| embers:ore_nickel                         |        0 | Nickel Ore                      | oreNickel                                                   |     |
| embers:ore_quartz                         |        0 | Quartz Ore                      | oreQuartz                                                   |     |
| embers:ore_silver                         |        0 | Silver Ore                      | oreSilver                                                   |     |
| embers:ore_tin                            |        0 | Tin Ore                         | oreTin                                                      |     |
| embers:plate_aluminum                     |        0 | Aluminium Plate                 | plateAluminium,plateAluminum                                |     |
| embers:plate_bronze                       |        0 | Bronze Plate                    | plateBronze                                                 |     |
| embers:plate_copper                       |        0 | Copper Plate                    | plateCopper                                                 |     |
| embers:plate_dawnstone                    |        0 | Dawnstone Plate                 | plateDawnstone                                              |     |
| embers:plate_electrum                     |        0 | Electrum Plate                  | plateElectrum                                               |     |
| embers:plate_gold                         |        0 | Gold Plate                      | plateGold                                                   |     |
| embers:plate_iron                         |        0 | Iron Plate                      | plateIron                                                   |     |
| embers:plate_lead                         |        0 | Lead Plate                      | plateLead                                                   |     |
| embers:plate_nickel                       |        0 | Nickel Plate                    | plateNickel                                                 |     |
| embers:plate_silver                       |        0 | Silver Plate                    | plateSilver                                                 |     |
| embers:plate_tin                          |        0 | Tin Plate                       | plateTin                                                    |     |
| immersiveengineering:material             |        0 | Treated Stick                   | stickTreatedWood                                            |     |
| immersiveengineering:material             |        1 | Iron Rod                        | stickIron                                                   |     |
| immersiveengineering:material             |        2 | Steel Rod                       | stickSteel                                                  |     |
| immersiveengineering:material             |        3 | Aluminium Rod                   | stickAluminum                                               |     |
| immersiveengineering:material             |        4 | Industrial Hemp Fiber           | fiberHemp                                                   |     |
| immersiveengineering:material             |        5 | Tough Fabric                    | fabricHemp                                                  |     |
| immersiveengineering:material             |        6 | Coal Coke                       | fuelCoke                                                    |     |
| immersiveengineering:material             |        7 | Slag                            | itemSlag                                                    |     |
| immersiveengineering:material             |       17 | Coke Dust                       | dustCoke                                                    |     |
| immersiveengineering:material             |       18 | HOP Graphite Dust               | dustHOPGraphite                                             |     |
| immersiveengineering:material             |       19 | HOP Graphite Ingot              | ingotHOPGraphite                                            |     |
| immersiveengineering:material             |       20 | Copper Wire                     | wireCopper                                                  |     |
| immersiveengineering:material             |       21 | Electrum Wire                   | wireElectrum                                                |     |
| immersiveengineering:material             |       22 | Aluminium Wire                  | wireAluminum                                                |     |
| immersiveengineering:material             |       23 | Steel Wire                      | wireSteel                                                   |     |
| immersiveengineering:material             |       24 | Nitrate Dust                    | dustSaltpeter                                               |     |
| immersiveengineering:material             |       25 | Sulfur Dust                     | dustSulfur                                                  |     |
| immersiveengineering:material             |       26 | Vacuum Tube                     | electronTube                                                |     |
| immersiveengineering:metal                |        0 | Copper Ingot                    | ingotCopper                                                 |     |
| immersiveengineering:metal                |        1 | Aluminium Ingot                 | ingotAluminum                                               |     |
| immersiveengineering:metal                |        2 | Lead Ingot                      | ingotLead                                                   |     |
| immersiveengineering:metal                |        3 | Silver Ingot                    | ingotSilver                                                 |     |
| immersiveengineering:metal                |        4 | Nickel Ingot                    | ingotNickel                                                 |     |
| immersiveengineering:metal                |        5 | Uranium Ingot                   | ingotUranium                                                |     |
| immersiveengineering:metal                |        6 | Constantan Ingot                | ingotConstantan                                             |     |
| immersiveengineering:metal                |        7 | Electrum Ingot                  | ingotElectrum                                               |     |
| immersiveengineering:metal                |        8 | Steel Ingot                     | ingotSteel                                                  |     |
| immersiveengineering:metal                |        9 | Copper Grit                     | dustCopper                                                  |     |
| immersiveengineering:metal                |       10 | Aluminium Grit                  | dustAluminum                                                |     |
| immersiveengineering:metal                |       11 | Lead Grit                       | dustLead                                                    |     |
| immersiveengineering:metal                |       12 | Silver Grit                     | dustSilver                                                  |     |
| immersiveengineering:metal                |       13 | Nickel Grit                     | dustNickel                                                  |     |
| immersiveengineering:metal                |       14 | Uranium Grit                    | dustUranium                                                 |     |
| immersiveengineering:metal                |       15 | Constantan Grit                 | dustConstantan                                              |     |
| immersiveengineering:metal                |       16 | Electrum Grit                   | dustElectrum                                                |     |
| immersiveengineering:metal                |       17 | Steel Grit                      | dustSteel                                                   |     |
| immersiveengineering:metal                |       18 | Iron Grit                       | dustIron                                                    |     |
| immersiveengineering:metal                |       19 | Gold Grit                       | dustGold                                                    |     |
| immersiveengineering:metal                |       20 | Copper Nugget                   | nuggetCopper                                                |     |
| immersiveengineering:metal                |       21 | Aluminium Nugget                | nuggetAluminum                                              |     |
| immersiveengineering:metal                |       22 | Lead Nugget                     | nuggetLead                                                  |     |
| immersiveengineering:metal                |       23 | Silver Nugget                   | nuggetSilver                                                |     |
| immersiveengineering:metal                |       24 | Nickel Nugget                   | nuggetNickel                                                |     |
| immersiveengineering:metal                |       25 | Uranium Nugget                  | nuggetUranium                                               |     |
| immersiveengineering:metal                |       26 | Constantan Nugget               | nuggetConstantan                                            |     |
| immersiveengineering:metal                |       27 | Electrum Nugget                 | nuggetElectrum                                              |     |
| immersiveengineering:metal                |       28 | Steel Nugget                    | nuggetSteel                                                 |     |
| immersiveengineering:metal                |       29 | Iron Nugget                     | nuggetIron                                                  |     |
| immersiveengineering:metal                |       30 | Copper Plate                    | plateCopper                                                 |     |
| immersiveengineering:metal                |       31 | Aluminium Plate                 | plateAluminum                                               |     |
| immersiveengineering:metal                |       32 | Lead Plate                      | plateLead                                                   |     |
| immersiveengineering:metal                |       33 | Silver Plate                    | plateSilver                                                 |     |
| immersiveengineering:metal                |       34 | Nickel Plate                    | plateNickel                                                 |     |
| immersiveengineering:metal                |       35 | Uranium Plate                   | plateUranium                                                |     |
| immersiveengineering:metal                |       36 | Constantan Plate                | plateConstantan                                             |     |
| immersiveengineering:metal                |       37 | Electrum Plate                  | plateElectrum                                               |     |
| immersiveengineering:metal                |       38 | Steel Plate                     | plateSteel                                                  |     |
| immersiveengineering:metal                |       39 | Iron Plate                      | plateIron                                                   |     |
| immersiveengineering:metal                |       40 | Gold Plate                      | plateGold                                                   |     |
| immersiveengineering:metal_decoration1    |        0 | Steel Fence                     | fenceSteel                                                  |     |
| immersiveengineering:metal_decoration1    |        1 | Steel Scaffolding               | scaffoldingSteel                                            |     |
| immersiveengineering:metal_decoration1    |        2 | Steel Scaffolding               | scaffoldingSteel                                            |     |
| immersiveengineering:metal_decoration1    |        3 | Steel Scaffolding               | scaffoldingSteel                                            |     |
| immersiveengineering:metal_decoration1    |        4 | Aluminium Fence                 | fenceAluminum                                               |     |
| immersiveengineering:metal_decoration1    |        5 | Aluminium Scaffolding           | scaffoldingAluminum                                         |     |
| immersiveengineering:metal_decoration1    |        6 | Aluminium Scaffolding           | scaffoldingAluminum                                         |     |
| immersiveengineering:metal_decoration1    |        7 | Aluminium Scaffolding           | scaffoldingAluminum                                         |     |
| immersiveengineering:ore                  |        0 | Copper Ore                      | oreCopper                                                   |     |
| immersiveengineering:ore                  |        1 | Bauxite Ore                     | oreAluminum                                                 |     |
| immersiveengineering:ore                  |        2 | Lead Ore                        | oreLead                                                     |     |
| immersiveengineering:ore                  |        3 | Silver Ore                      | oreSilver                                                   |     |
| immersiveengineering:ore                  |        4 | Nickel Ore                      | oreNickel                                                   |     |
| immersiveengineering:ore                  |        5 | Uranium Ore                     | oreUranium                                                  |     |
| immersiveengineering:sheetmetal           |        0 | Copper Sheetmetal               | blockSheetmetalCopper                                       |     |
| immersiveengineering:sheetmetal           |        1 | Aluminium Sheetmetal            | blockSheetmetalAluminum                                     |     |
| immersiveengineering:sheetmetal           |        2 | Lead Sheetmetal                 | blockSheetmetalLead                                         |     |
| immersiveengineering:sheetmetal           |        3 | Silver Sheetmetal               | blockSheetmetalSilver                                       |     |
| immersiveengineering:sheetmetal           |        4 | Nickel Sheetmetal               | blockSheetmetalNickel                                       |     |
| immersiveengineering:sheetmetal           |        5 | Uranium Sheetmetal              | blockSheetmetalUranium                                      |     |
| immersiveengineering:sheetmetal           |        6 | Constantan Sheetmetal           | blockSheetmetalConstantan                                   |     |
| immersiveengineering:sheetmetal           |        7 | Electrum Sheetmetal             | blockSheetmetalElectrum                                     |     |
| immersiveengineering:sheetmetal           |        8 | Steel Sheetmetal                | blockSheetmetalSteel                                        |     |
| immersiveengineering:sheetmetal           |        9 | Iron Sheetmetal                 | blockSheetmetalIron                                         |     |
| immersiveengineering:sheetmetal           |       10 | Gold Sheetmetal                 | blockSheetmetalGold                                         |     |
| immersiveengineering:sheetmetal_slab      |        0 | Copper Sheetmetal Slab          | slabSheetmetalCopper                                        |     |
| immersiveengineering:sheetmetal_slab      |        1 | Aluminium Sheetmetal Slab       | slabSheetmetalAluminum                                      |     |
| immersiveengineering:sheetmetal_slab      |        2 | Lead Sheetmetal Slab            | slabSheetmetalLead                                          |     |
| immersiveengineering:sheetmetal_slab      |        3 | Silver Sheetmetal Slab          | slabSheetmetalSilver                                        |     |
| immersiveengineering:sheetmetal_slab      |        4 | Nickel Sheetmetal Slab          | slabSheetmetalNickel                                        |     |
| immersiveengineering:sheetmetal_slab      |        5 | Uranium Sheetmetal Slab         | slabSheetmetalUranium                                       |     |
| immersiveengineering:sheetmetal_slab      |        6 | Constantan Sheetmetal Slab      | slabSheetmetalConstantan                                    |     |
| immersiveengineering:sheetmetal_slab      |        7 | Electrum Sheetmetal Slab        | slabSheetmetalElectrum                                      |     |
| immersiveengineering:sheetmetal_slab      |        8 | Steel Sheetmetal Slab           | slabSheetmetalSteel                                         |     |
| immersiveengineering:sheetmetal_slab      |        9 | Iron Sheetmetal Slab            | slabSheetmetalIron                                          |     |
| immersiveengineering:sheetmetal_slab      |       10 | Gold Sheetmetal Slab            | slabSheetmetalGold                                          |     |
| immersiveengineering:stone_decoration     |        3 | Block of Coal Coke              | blockFuelCoke                                               |     |
| immersiveengineering:stone_decoration     |        5 | Concrete                        | concrete                                                    |     |
| immersiveengineering:stone_decoration     |        6 | Concrete Tile                   | concrete                                                    |     |
| immersiveengineering:storage              |        0 | Block of Copper                 | blockCopper                                                 |     |
| immersiveengineering:storage              |        1 | Block of Aluminium              | blockAluminum                                               |     |
| immersiveengineering:storage              |        2 | Block of Lead                   | blockLead                                                   |     |
| immersiveengineering:storage              |        3 | Block of Silver                 | blockSilver                                                 |     |
| immersiveengineering:storage              |        4 | Block of Nickel                 | blockNickel                                                 |     |
| immersiveengineering:storage              |        5 | Block of Uranium                | blockUranium                                                |     |
| immersiveengineering:storage              |        6 | Block of Constantan             | blockConstantan                                             |     |
| immersiveengineering:storage              |        7 | Block of Electrum               | blockElectrum                                               |     |
| immersiveengineering:storage              |        8 | Block of Steel                  | blockSteel                                                  |     |
| immersiveengineering:storage_slab         |        0 | Copper Slab                     | slabCopper                                                  |     |
| immersiveengineering:storage_slab         |        1 | Aluminium Slab                  | slabAluminum                                                |     |
| immersiveengineering:storage_slab         |        2 | Lead Slab                       | slabLead                                                    |     |
| immersiveengineering:storage_slab         |        3 | Silver Slab                     | slabSilver                                                  |     |
| immersiveengineering:storage_slab         |        4 | Nickel Slab                     | slabNickel                                                  |     |
| immersiveengineering:storage_slab         |        5 | Uranium Slab                    | slabUranium                                                 |     |
| immersiveengineering:storage_slab         |        6 | Constantan Slab                 | slabConstantan                                              |     |
| immersiveengineering:storage_slab         |        7 | Electrum Slab                   | slabElectrum                                                |     |
| immersiveengineering:storage_slab         |        8 | Steel Slab                      | slabSteel                                                   |     |
| immersiveengineering:treated_wood         |    32767 | (WILDCARD)                      | plankTreatedWood                                            |     |
| immersiveengineering:treated_wood_slab    |    32767 | (WILDCARD)                      | slabTreatedWood                                             |     |
| immersiveengineering:wooden_decoration    |        0 | Treated Wood Fence              | fenceTreatedWood                                            |     |
| immersiveengineering:wooden_decoration    |        1 | Treated Wood Scaffolding        | scaffoldingTreatedWood                                      |     |
| improvedbackpacks:backpack                |        0 | Backpack                        | backpack                                                    |     |
| inventorypets:nugget_coal                 |        0 | Coal Nugget                     | nuggetCoal                                                  |     |
| inventorypets:nugget_diamond              |        0 | Diamond Nugget                  | nuggetDiamond                                               |     |
| inventorypets:nugget_emerald              |        0 | Emerald Nugget                  | nuggetEmerald                                               |     |
| inventorypets:nugget_ender                |        0 | Ender Nugget                    | nuggetEnder                                                 |     |
