+-----------------------------+--------------------------------------------------------------+------------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                        |
| of the Block class in question. The actual final values may be different                                              |
| for different states of the block, or they may depend on a TileEntity etc.                                            |
+-----------------------------+--------------------------------------------------------------+------------+-------------+
| Mod name                    | Registry name                                                |   Hardness |  Resistance |
| Botania                     | botania:biomestonea15slabfull                                |       1.50 |       30.00 |
| Botania                     | botania:biomestonea15stairs                                  |       1.50 |       30.00 |
| Botania                     | botania:biomestonea1slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea1slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea1stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestonea2slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea2slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea2stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestonea3slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea3slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea3stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestonea4slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea4slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea4stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestonea5slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea5slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea5stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestonea6slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea6slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea6stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestonea7slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea7slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea7stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestonea8slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea8slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea8stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestonea9slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea9slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea9stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb                                          |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb0slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb0slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb0stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb1slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb1slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb1stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb2slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb2slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb2stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb3slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb3slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb3stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb4slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb4slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb4stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb5slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb5slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb5stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb6slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb6slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb6stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb7slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb7slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestoneb7stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:blazeblock                                           |       3.00 |       30.00 |
| Botania                     | botania:brewery                                              |       2.00 |       30.00 |
| Botania                     | botania:buriedpetals                                         |       0.00 |        0.00 |
| Botania                     | botania:cacophoniumblock                                     |       0.80 |        4.00 |
| Botania                     | botania:cellblock                                            |       0.00 |        0.00 |
| Botania                     | botania:cocoon                                               |       3.00 |      150.00 |
| Botania                     | botania:conjurationcatalyst                                  |       2.00 |       30.00 |
| Botania                     | botania:corporeacrystalcube                                  |       5.50 |       27.50 |
| Botania                     | botania:corporeafunnel                                       |       5.50 |       27.50 |
| Botania                     | botania:corporeaindex                                        |       5.50 |       27.50 |
| Botania                     | botania:corporeainterceptor                                  |       5.50 |       27.50 |
| Botania                     | botania:corporearetainer                                     |       5.50 |       27.50 |
| Botania                     | botania:custombrick                                          |       2.00 |       15.00 |
| Botania                     | botania:distributor                                          |       2.00 |       30.00 |
| Botania                     | botania:doubleflower1                                        |       0.00 |        0.00 |
| Botania                     | botania:doubleflower2                                        |       0.00 |        0.00 |
| Botania                     | botania:dreamwood                                            |       2.00 |       10.00 |
| Botania                     | botania:dreamwood0slab                                       |       2.00 |       10.00 |
| Botania                     | botania:dreamwood0slabfull                                   |       2.00 |       10.00 |
| Botania                     | botania:dreamwood0stairs                                     |       2.00 |       10.00 |
| Botania                     | botania:dreamwood0wall                                       |       2.00 |       10.00 |
| Botania                     | botania:dreamwood1slab                                       |       2.00 |       10.00 |
| Botania                     | botania:dreamwood1slabfull                                   |       2.00 |       10.00 |
| Botania                     | botania:dreamwood1stairs                                     |       2.00 |       10.00 |
| Botania                     | botania:elfglass                                             |       0.30 |        1.50 |
| Botania                     | botania:elfglasspane                                         |       0.30 |        1.50 |
| Botania                     | botania:enchantedsoil                                        |       0.60 |        3.00 |
| Botania                     | botania:enchanter                                            |       3.00 |       15.00 |
| Botania                     | botania:endereyeblock                                        |       3.00 |       30.00 |
| Botania                     | botania:fakeair                                              |       0.00 |        0.00 |
| Botania                     | botania:felpumpkin                                           |       1.00 |        5.00 |
| Botania                     | botania:floatingspecialflower                                |       0.50 |        2.50 |
| Botania                     | botania:flower                                               |       0.00 |        0.00 |
| Botania                     | botania:forestdrum                                           |       2.00 |       10.00 |
| Botania                     | botania:foresteye                                            |       5.00 |       30.00 |
| Botania                     | botania:gaiaheadblock                                        |       1.00 |        5.00 |
| Botania                     | botania:ghostrail                                            |       0.00 |        0.00 |
| Botania                     | botania:hourglass                                            |       2.00 |       10.00 |
| Botania                     | botania:incenseplate                                         |       2.00 |       10.00 |
| Botania                     | botania:lightlauncher                                        |       2.00 |       10.00 |
| Botania                     | botania:lightrelay                                           |       0.00 |        0.00 |
| Botania                     | botania:livingrock                                           |       2.00 |       30.00 |
| Botania                     | botania:livingrock0slab                                      |       2.00 |       30.00 |
| Botania                     | botania:livingrock0slabfull                                  |       2.00 |       30.00 |
| Botania                     | botania:livingrock0stairs                                    |       2.00 |       30.00 |
| Botania                     | botania:livingrock0wall                                      |       2.00 |       30.00 |
| Botania                     | botania:livingrock1slab                                      |       2.00 |       30.00 |
| Botania                     | botania:livingrock1slabfull                                  |       2.00 |       30.00 |
| Botania                     | botania:livingrock1stairs                                    |       2.00 |       30.00 |
| Botania                     | botania:livingwood                                           |       2.00 |       10.00 |
| Botania                     | botania:livingwood0slab                                      |       2.00 |       10.00 |
| Botania                     | botania:livingwood0slabfull                                  |       2.00 |       10.00 |
| Botania                     | botania:livingwood0stairs                                    |       2.00 |       10.00 |
| Botania                     | botania:livingwood0wall                                      |       2.00 |       10.00 |
| Botania                     | botania:livingwood1slab                                      |       2.00 |       10.00 |
| Botania                     | botania:livingwood1slabfull                                  |       2.00 |       10.00 |
| Botania                     | botania:livingwood1stairs                                    |       2.00 |       10.00 |
| Botania                     | botania:manabomb                                             |      12.00 |       60.00 |
| Botania                     | botania:manadetector                                         |       2.00 |       30.00 |
| Botania                     | botania:manaflame                                            |       0.00 |        0.00 |
| Botania                     | botania:managlass                                            |       0.30 |        1.50 |
| Botania                     | botania:managlasspane                                        |       0.30 |        1.50 |
| Botania                     | botania:manavoid                                             |       2.00 |     6000.00 |
| Botania                     | botania:miniisland                                           |       0.50 |        2.50 |
| Botania                     | botania:mushroom                                             |       0.00 |        0.00 |
| Botania                     | botania:opencrate                                            |       2.00 |       10.00 |
| Botania                     | botania:pavement                                             |       2.00 |       30.00 |
| Botania                     | botania:pavement0slab                                        |       2.00 |       30.00 |
| Botania                     | botania:pavement0slabfull                                    |       2.00 |       30.00 |
| Botania                     | botania:pavement0stairs                                      |       2.00 |       30.00 |
| Botania                     | botania:pavement1slab                                        |       2.00 |       30.00 |
| Botania                     | botania:pavement1slabfull                                    |       2.00 |       30.00 |
| Botania                     | botania:pavement1stairs                                      |       2.00 |       30.00 |
| Botania                     | botania:pavement2slab                                        |       2.00 |       30.00 |
| Botania                     | botania:pavement2slabfull                                    |       2.00 |       30.00 |
| Botania                     | botania:pavement2stairs                                      |       2.00 |       30.00 |
| Botania                     | botania:pavement3slab                                        |       2.00 |       30.00 |
| Botania                     | botania:pavement3slabfull                                    |       2.00 |       30.00 |
| Botania                     | botania:pavement3stairs                                      |       2.00 |       30.00 |
| Botania                     | botania:pavement4slab                                        |       2.00 |       30.00 |
| Botania                     | botania:pavement4slabfull                                    |       2.00 |       30.00 |
| Botania                     | botania:pavement4stairs                                      |       2.00 |       30.00 |
| Botania                     | botania:pavement5slab                                        |       2.00 |       30.00 |
| Botania                     | botania:pavement5slabfull                                    |       2.00 |       30.00 |
| Botania                     | botania:pavement5stairs                                      |       2.00 |       30.00 |
| Botania                     | botania:petalblock                                           |       0.40 |        2.00 |
| Botania                     | botania:pistonrelay                                          |       2.00 |       30.00 |
| Botania                     | botania:platform                                             |       2.00 |       15.00 |
| Botania                     | botania:pool                                                 |       2.00 |       30.00 |
| Botania                     | botania:prism                                                |       0.30 |        1.50 |
| Botania                     | botania:pump                                                 |       2.00 |       30.00 |
| Botania                     | botania:pylon                                                |       5.50 |       27.50 |
| Botania                     | botania:quartzslabblazefull                                  |       0.80 |       30.00 |
| Botania                     | botania:quartzslabblazehalf                                  |       0.80 |       30.00 |
| Botania                     | botania:quartzslabdarkfull                                   |       0.80 |       30.00 |
| Botania                     | botania:quartzslabdarkhalf                                   |       0.80 |       30.00 |
| Botania                     | botania:quartzslabelffull                                    |       0.80 |       30.00 |
| Botania                     | botania:quartzslabelfhalf                                    |       0.80 |       30.00 |
| Botania                     | botania:quartzslablavenderfull                               |       0.80 |       30.00 |
| Botania                     | botania:quartzslablavenderhalf                               |       0.80 |       30.00 |
| Botania                     | botania:quartzslabmanafull                                   |       0.80 |       30.00 |
| Botania                     | botania:quartzslabmanahalf                                   |       0.80 |       30.00 |
| Botania                     | botania:quartzslabredfull                                    |       0.80 |       30.00 |
| Botania                     | botania:quartzslabredhalf                                    |       0.80 |       30.00 |
| Botania                     | botania:quartzslabsunnyfull                                  |       0.80 |       30.00 |
| Botania                     | botania:quartzslabsunnyhalf                                  |       0.80 |       30.00 |
| Botania                     | botania:quartzstairsblaze                                    |       0.80 |       30.00 |
| Botania                     | botania:quartzstairsdark                                     |       0.80 |       30.00 |
| Botania                     | botania:quartzstairself                                      |       0.80 |       30.00 |
| Botania                     | botania:quartzstairslavender                                 |       0.80 |       30.00 |
| Botania                     | botania:quartzstairsmana                                     |       0.80 |       30.00 |
| Botania                     | botania:quartzstairsred                                      |       0.80 |       30.00 |
| Botania                     | botania:quartzstairssunny                                    |       0.80 |       30.00 |
| Botania                     | botania:quartztypeblaze                                      |       0.80 |       30.00 |
| Botania                     | botania:quartztypedark                                       |       0.80 |       30.00 |
| Botania                     | botania:quartztypeelf                                        |       0.80 |       30.00 |
| Botania                     | botania:quartztypelavender                                   |       0.80 |       30.00 |
| Botania                     | botania:quartztypemana                                       |       0.80 |       30.00 |
| Botania                     | botania:quartztypered                                        |       0.80 |       30.00 |
| Botania                     | botania:quartztypesunny                                      |       0.80 |       30.00 |
| Botania                     | botania:redstringcomparator                                  |       2.00 |       30.00 |
| Botania                     | botania:redstringcontainer                                   |       2.00 |       30.00 |
| Botania                     | botania:redstringdispenser                                   |       2.00 |       30.00 |
| Botania                     | botania:redstringfertilizer                                  |       2.00 |       30.00 |
| Botania                     | botania:redstringinterceptor                                 |       2.00 |       30.00 |
| Botania                     | botania:redstringrelay                                       |       2.00 |       30.00 |
| Botania                     | botania:rfgenerator                                          |       2.00 |       30.00 |
| Botania                     | botania:root                                                 |       1.20 |        6.00 |
| Botania                     | botania:runealtar                                            |       2.00 |       30.00 |
| Botania                     | botania:shimmerrock                                          |       2.00 |       30.00 |
| Botania                     | botania:shimmerrock0slab                                     |       2.00 |       30.00 |
| Botania                     | botania:shimmerrock0slabfull                                 |       2.00 |       30.00 |
| Botania                     | botania:shimmerrock0stairs                                   |       2.00 |       30.00 |
| Botania                     | botania:shimmerwoodplanks                                    |       2.00 |       10.00 |
| Botania                     | botania:shimmerwoodplanks0slab                               |       2.00 |       30.00 |
| Botania                     | botania:shimmerwoodplanks0slabfull                           |       2.00 |       30.00 |
| Botania                     | botania:shimmerwoodplanks0stairs                             |       2.00 |       10.00 |
| Botania                     | botania:shinyflower                                          |       0.00 |        0.00 |
| Botania                     | botania:solidvine                                            |       0.50 |        2.50 |
| Botania                     | botania:sparkchanger                                         |       2.00 |       30.00 |
| Botania                     | botania:spawnerclaw                                          |       3.00 |       15.00 |
| Botania                     | botania:specialflower                                        |       0.10 |        0.50 |
| Botania                     | botania:spreader                                             |       2.00 |       10.00 |
| Botania                     | botania:starfield                                            |       5.00 |     6000.00 |
| Botania                     | botania:storage                                              |       3.00 |       30.00 |
| Botania                     | botania:terraplate                                           |       3.00 |       30.00 |
| Botania                     | botania:teruterubozu                                         |       0.00 |        0.00 |
| Botania                     | botania:tinyplanetblock                                      |      20.00 |      300.00 |
| Botania                     | botania:tinypotato                                           |       0.25 |        1.25 |
| Botania                     | botania:turntable                                            |       2.00 |       10.00 |
| Botania Needs These Things! | botanianeedsit:mana_charger                                  |       1.00 |        5.00 |
| Botania Tweaks              | botania_tweaks:compressed_tiny_potato_1                      |       0.50 |        2.50 |
| Botania Tweaks              | botania_tweaks:compressed_tiny_potato_2                      |       0.75 |        3.75 |
| Botania Tweaks              | botania_tweaks:compressed_tiny_potato_3                      |       1.00 |        5.00 |
| Botania Tweaks              | botania_tweaks:compressed_tiny_potato_4                      |       1.25 |        6.25 |
| Botania Tweaks              | botania_tweaks:compressed_tiny_potato_5                      |       1.50 |        7.50 |
| Botania Tweaks              | botania_tweaks:compressed_tiny_potato_6                      |       1.75 |        8.75 |
| Botania Tweaks              | botania_tweaks:compressed_tiny_potato_7                      |       2.00 |       10.00 |
| Botania Tweaks              | botania_tweaks:compressed_tiny_potato_8                      |       2.25 |       11.25 |
| Botania Tweaks              | botania_tweaks:potted_tiny_potato                            |       0.00 |        0.00 |
| Bountiful Baubles           | bountifulbaubles:reforger                                    |       3.00 |      300.00 |
| Daedalus' Labyrinth         | labyrinth:daedalus                                           |      50.00 |     6000.00 |
| Daedalus' Labyrinth         | labyrinth:daedalusportal                                     |      -1.00 |     6000.00 |
| Dungeon Mobs                | dungeonmobs:bladetrap                                        |      20.00 |       60.00 |
| Dungeon Mobs                | dungeonmobs:lavarock                                         |       0.00 |        0.00 |
| Embers Rekindled            | embers:advanced_edge                                         |       1.00 |        5.00 |
| Embers Rekindled            | embers:alchemical_redstone                                   |       0.00 |        0.00 |
| Embers Rekindled            | embers:alchemy_pedestal                                      |       1.60 |        8.00 |
| Embers Rekindled            | embers:alchemy_tablet                                        |       1.60 |        8.00 |
| Embers Rekindled            | embers:aluminum                                              |       0.00 |        0.00 |
| Embers Rekindled            | embers:archaic_bricks                                        |       1.60 |        8.00 |
| Embers Rekindled            | embers:archaic_edge                                          |       1.60 |        8.00 |
| Embers Rekindled            | embers:archaic_light                                         |       1.60 |        8.00 |
| Embers Rekindled            | embers:archaic_mech_edge                                     |       1.00 |        5.00 |
| Embers Rekindled            | embers:archaic_tile                                          |       1.60 |        8.00 |
| Embers Rekindled            | embers:ashen_brick                                           |       1.60 |        8.00 |
| Embers Rekindled            | embers:ashen_brick_slab                                      |       1.60 |        8.00 |
| Embers Rekindled            | embers:ashen_brick_slab_double                               |       1.60 |        8.00 |
| Embers Rekindled            | embers:ashen_stone                                           |       1.60 |        8.00 |
| Embers Rekindled            | embers:ashen_stone_slab                                      |       1.60 |        8.00 |
| Embers Rekindled            | embers:ashen_stone_slab_double                               |       1.60 |        8.00 |
| Embers Rekindled            | embers:ashen_tile                                            |       1.60 |        8.00 |
| Embers Rekindled            | embers:ashen_tile_slab                                       |       1.60 |        8.00 |
| Embers Rekindled            | embers:ashen_tile_slab_double                                |       1.60 |        8.00 |
| Embers Rekindled            | embers:auto_hammer                                           |       1.60 |        8.00 |
| Embers Rekindled            | embers:beam_cannon                                           |       1.60 |        8.00 |
| Embers Rekindled            | embers:beam_splitter                                         |       1.00 |        5.00 |
| Embers Rekindled            | embers:bin                                                   |       1.00 |        5.00 |
| Embers Rekindled            | embers:block_aluminum                                        |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_bronze                                          |       2.30 |       11.50 |
| Embers Rekindled            | embers:block_caminite_brick                                  |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_caminite_brick_slab                             |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_caminite_brick_slab_double                      |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_copper                                          |       1.40 |        7.00 |
| Embers Rekindled            | embers:block_dawnstone                                       |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_electrum                                        |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_furnace                                         |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_lantern                                         |       1.00 |        5.00 |
| Embers Rekindled            | embers:block_lead                                            |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_nickel                                          |       2.20 |       11.00 |
| Embers Rekindled            | embers:block_silver                                          |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_tank                                            |       1.60 |        8.00 |
| Embers Rekindled            | embers:block_tin                                             |       1.30 |        6.50 |
| Embers Rekindled            | embers:boiler                                                |       1.60 |        8.00 |
| Embers Rekindled            | embers:breaker                                               |       1.60 |        8.00 |
| Embers Rekindled            | embers:bronze                                                |       0.00 |        0.00 |
| Embers Rekindled            | embers:caminite_lever                                        |       0.75 |        3.75 |
| Embers Rekindled            | embers:catalytic_plug                                        |       1.60 |        8.00 |
| Embers Rekindled            | embers:catalyzer                                             |       1.60 |        8.00 |
| Embers Rekindled            | embers:charger                                               |       1.00 |        5.00 |
| Embers Rekindled            | embers:cinder_plinth                                         |       1.60 |        8.00 |
| Embers Rekindled            | embers:clockwork_attenuator                                  |       1.60 |        8.00 |
| Embers Rekindled            | embers:combustor                                             |       1.60 |        8.00 |
| Embers Rekindled            | embers:copper                                                |       0.00 |        0.00 |
| Embers Rekindled            | embers:copper_cell                                           |       1.40 |        7.00 |
| Embers Rekindled            | embers:creative_ember_source                                 |       1.00 |        5.00 |
| Embers Rekindled            | embers:crystal_cell                                          |       1.00 |        5.00 |
| Embers Rekindled            | embers:dawnstone                                             |       0.00 |        0.00 |
| Embers Rekindled            | embers:dawnstone_anvil                                       |       1.60 |        8.00 |
| Embers Rekindled            | embers:electrum                                              |       0.00 |        0.00 |
| Embers Rekindled            | embers:ember_activator                                       |       1.60 |        8.00 |
| Embers Rekindled            | embers:ember_bore                                            |       1.00 |        5.00 |
| Embers Rekindled            | embers:ember_emitter                                         |       0.60 |        3.00 |
| Embers Rekindled            | embers:ember_funnel                                          |       1.60 |        8.00 |
| Embers Rekindled            | embers:ember_gauge                                           |       1.00 |        5.00 |
| Embers Rekindled            | embers:ember_injector                                        |       1.60 |        8.00 |
| Embers Rekindled            | embers:ember_pipe                                            |       1.60 |        8.00 |
| Embers Rekindled            | embers:ember_pulser                                          |       1.60 |        8.00 |
| Embers Rekindled            | embers:ember_receiver                                        |       0.60 |        3.00 |
| Embers Rekindled            | embers:ember_relay                                           |       1.00 |        5.00 |
| Embers Rekindled            | embers:ember_siphon                                          |       1.60 |        8.00 |
| Embers Rekindled            | embers:explosion_pedestal                                    |       1.60 |        8.00 |
| Embers Rekindled            | embers:field_chart                                           |       1.60 |        8.00 |
| Embers Rekindled            | embers:fluid_gauge                                           |       1.00 |        5.00 |
| Embers Rekindled            | embers:fluid_transfer                                        |       1.60 |        8.00 |
| Embers Rekindled            | embers:geo_separator                                         |       1.60 |        8.00 |
| Embers Rekindled            | embers:glow                                                  |       0.00 |        0.00 |
| Embers Rekindled            | embers:gold                                                  |       0.00 |        0.00 |
| Embers Rekindled            | embers:heat_coil                                             |       1.00 |        5.00 |
| Embers Rekindled            | embers:inferno_forge                                         |       1.00 |        5.00 |
| Embers Rekindled            | embers:inferno_forge_edge                                    |       1.00 |        5.00 |
| Embers Rekindled            | embers:iron                                                  |       0.00 |        0.00 |
| Embers Rekindled            | embers:item_dropper                                          |       1.00 |        5.00 |
| Embers Rekindled            | embers:item_pipe                                             |       1.00 |        5.00 |
| Embers Rekindled            | embers:item_pump                                             |       1.00 |        5.00 |
| Embers Rekindled            | embers:item_request                                          |       1.60 |        8.00 |
| Embers Rekindled            | embers:item_transfer                                         |       1.60 |        8.00 |
| Embers Rekindled            | embers:large_tank                                            |       1.00 |        5.00 |
| Embers Rekindled            | embers:lead                                                  |       0.00 |        0.00 |
| Embers Rekindled            | embers:mech_accessor                                         |       1.00 |        5.00 |
| Embers Rekindled            | embers:mech_core                                             |       1.00 |        5.00 |
| Embers Rekindled            | embers:mech_edge                                             |       1.00 |        5.00 |
