+--------------------------------------------------------------------+--------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------+
| ID                                                                 | Name                                                               | Description                                                                                                             | Parent                                            |
| botania:challenge/king_key                                         | [A Fake, Fake Psychotropic]                                        | Be rewarded the Key of the King's Law for a heroic feat                                                                 | botania:challenge/root                            |
| botania:challenge/l20_shard_use                                    | [Out of Step]                                                      | Raise the ground up to the sky with a Power XX Shard of Laputa                                                          | botania:challenge/root                            |
| botania:challenge/loki_ring                                        | [Arithmetic]                                                       | Be rewarded the Ring of Loki for a heroic feat                                                                          | botania:challenge/root                            |
| botania:challenge/null_flower                                      | [Take it Easy]                                                     | Find a bug that lets you have an undefined Botania Flower. Don't forget to report it!                                   | botania:challenge/root                            |
| botania:challenge/odin_ring                                        | [Lost Time Memory]                                                 | Be rewarded the Ring of Odin for a heroic feat                                                                          | botania:challenge/root                            |
| botania:challenge/pinkinator                                       | [Decorator]                                                        | Put to use The Pinkinator                                                                                               | botania:challenge/root                            |
| botania:challenge/rank_ss_pick                                     | [A Tale of Six Trillion Years and a Night]                         | Dig through the world using a rank SS Terra Shatterer                                                                   | botania:challenge/root                            |
| botania:challenge/root                                             | [Botania Challenges]                                               | Challenges for the advanced botanist                                                                                    | -                                                 |
| botania:challenge/super_corporea_request                           | [Invader Girl]                                                     | Successfully request 50,000 or more of a single item in a Corporea Index                                                | botania:challenge/root                            |
| botania:challenge/thor_ring                                        | [One Step Layered]                                                 | Be rewarded the Ring of Thor for a heroic feat                                                                          | botania:challenge/root                            |
| botania:main/bauble_wear                                           | [Inner Arts]                                                       | Craft any variety of Bauble and wear it                                                                                 | botania:main/mana_pool_pickup                     |
| botania:main/brew_pickup                                           | [Childhood Blues]                                                  | Craft a Botanical Brewery and use it to create a Brew of any kind                                                       | botania:main/rune_pickup                          |
| botania:main/bubbell_pickup                                        | [Deep Sea Girl]                                                    | Create a Bubbell to allow for underwater base creation                                                                  | botania:main/elf_portal_open                      |
| botania:main/cacophonium_craft                                     | [Noisy Lover Soul]                                                 | Craft a Cacophonium to mildly infuriate your foes                                                                       | botania:main/root                                 |
| botania:main/corporea_craft                                        | [Packet Hero]                                                      | Craft a block that makes use of the Corporea Network                                                                    | botania:main/ender_air_make                       |
| botania:main/crafting_halo_craft                                   | [Segments Blue]                                                    | Craft an Assembly Halo to facilitate crafting                                                                           | botania:main/mana_pool_pickup                     |
| botania:main/dandelifeon_pickup                                    | [Donut Hole]                                                       | Create a Dandelifeon and challenge your mind with it                                                                    | botania:main/gaia_guardian_kill                   |
| botania:main/dirt_rod_craft                                        | [Rockbell]                                                         | Craft a dirty sti- er... Rod of the Lands                                                                               | botania:main/rune_pickup                          |
| botania:main/elf_portal_open                                       | [World Calling]                                                    | Open a portal to the realm of Alfheim                                                                                   | botania:main/terrasteel_pickup                    |
| botania:main/enchanter_make                                        | [Odds and Ends]                                                    | Create a Mana Enchanter in order to have better control over enchanting                                                 | botania:main/mana_pool_pickup                     |
| botania:main/ender_air_make                                        | [Imitation Air]                                                    | Collect a Bottle of Ender Air                                                                                           | botania:main/elf_portal_open                      |
| botania:main/flower_pickup                                         | [Sky of Beginning]                                                 | Pick up a Mystical Flower from the world                                                                                | botania:main/root                                 |
| botania:main/functional_flower                                     | [An Ecstatic Vivace]                                               | Make a functional flower in a Petal Apothecary                                                                          | botania:main/mana_pool_pickup                     |
| botania:main/gaia_guardian_kill                                    | [Dead and Seek]                                                    | Summon and slay a Gaia Guardian for a Ritual of Gaia                                                                    | botania:main/elf_portal_open                      |
| botania:main/generating_flower                                     | [Electric Magic]                                                   | Make a generating flower in a Petal Apothecary                                                                          | botania:main/lexicon_use                          |
| botania:main/heisei_dream_pickup                                   | [Heisei Cataclysm]                                                 | Create a Heisei Dream to cause havoc on mobs                                                                            | botania:main/elf_portal_open                      |
| botania:main/kekimurus_pickup                                      | [After-School Stride]                                              | Create a Kekimurus to help produce large quantities of Mana                                                             | botania:main/elf_portal_open                      |
| botania:main/lexicon_use                                           | [A Realistical Logical Ideologist]                                 | Open a Lexica Botania and have a look through the _index                                                                | botania:main/root                                 |
| botania:main/luminizer_ride                                        | [World's End Dancehall]                                            | Craft some Luminizers and use them for transport                                                                        | botania:main/ender_air_make                       |
| botania:main/mana_blaster_shoot                                    | [M'aider Stranded Girl]                                            | Craft and fire a Mana Blaster                                                                                           | botania:main/rune_pickup                          |
| botania:main/mana_bomb_ignite                                      | [Under of Fragments]                                               | Craft a Manastorm Charge, ignite it on a far away place                                                                 | botania:main/gaia_guardian_kill                   |
| botania:main/mana_cart_craft                                       | [World Domination How-To]                                          | Create a Minecart with Mana Pool for long range mana transport                                                          | botania:main/mana_pool_pickup                     |
| botania:main/mana_cookie_eat                                       | [Rotten Heresy and Chocolate]                                      | Infuse and eat a delicious Biscuit of Totality                                                                          | botania:main/mana_pool_pickup                     |
| botania:main/mana_pool_pickup                                      | [Vivid Wave]                                                       | Craft a Mana Pool to store Mana                                                                                         | botania:main/generating_flower                    |
| botania:main/manaweave_armor_craft                                 | [Imagination Forest]                                               | Create Manaweave Armor to power up your Rods                                                                            | botania:main/mana_pool_pickup                     |
| botania:main/pollidisiac_pickup                                    | [Romeo and Cinderella]                                             | Create a Pollidisiac, get love in the air                                                                               | botania:main/rune_pickup                          |
| botania:main/root                                                  | [Botania]                                                          | Botania description here.                                                                                               | -                                                 |
| botania:main/rune_pickup                                           | [Drop Pop Candy]                                                   | Use a Runic Altar to create a Rune                                                                                      | botania:main/mana_pool_pickup                     |
| botania:main/spark_craft                                           | [Live Drive]                                                       | Make a Spark to help transfer Mana around                                                                               | botania:main/mana_pool_pickup                     |
| botania:main/spawner_mover_use                                     | [I can take off my (redacted)]                                     | Use a Life Aggregator to transport a Monster Spawner                                                                    | botania:main/gaia_guardian_kill                   |
| botania:main/terrasteel_pickup                                     | [Dancer in the Dark]                                               | Conjure a Terrasteel Ingot using a Terrestrial Agglomeration Plate                                                      | botania:main/rune_pickup                          |
| botania:main/terrasteel_weapon_craft                               | [Remote Paranoia]                                                  | Arm yourself with a weapon made of Terrasteel                                                                           | botania:main/terrasteel_pickup                    |
| botania:main/tiara_wings                                           | [Heart Shooter]                                                    | Craft and adorn a Flügel Tiara with Flügel Wings                                                                        | botania:main/gaia_guardian_kill                   |
| botania:main/tiny_potato_pet                                       | [Just Be Friends]                                                  | Make a Tiny Potato and pet it                                                                                           | botania:main/mana_pool_pickup                     |
| botania_tweaks:octuple_potato                                      | [Simply Love]                                                      | Place the Galactic Potato, an artifact of tremendous power                                                              | botania:main/tiny_potato_pet                      |
| immersiveengineering:main/connect_wire                             | [Birds on a Wire]                                                  | Attach a wire                                                                                                           | immersiveengineering:main/root                    |
| immersiveengineering:main/craft_chemthrower                        | [Spray and Pray]                                                   | Craft the Chemical Thrower                                                                                              | immersiveengineering:main/craft_workbench         |
| immersiveengineering:main/craft_drill                              | [Power Pick]                                                       | Craft the Mining Drill                                                                                                  | immersiveengineering:main/craft_workbench         |
| immersiveengineering:main/craft_hammer                             | [HAMMAH!]                                                          | Craft an Engineer's Hammer                                                                                              | immersiveengineering:main/root                    |
| immersiveengineering:main/craft_heater                             | [Spread the warmth]                                                | Craft an External Heater                                                                                                | immersiveengineering:main/connect_wire            |
| immersiveengineering:main/craft_pump                               | [Under Pressure]                                                   | Craft a Fluid Pump                                                                                                      | immersiveengineering:main/connect_wire            |
| immersiveengineering:main/craft_railgun                            | [Fortune's Legacy]                                                 | Craft the Railgun                                                                                                       | immersiveengineering:main/craft_workbench         |
| immersiveengineering:main/craft_revolver                           | [Make my day]                                                      | Craft the Revolver                                                                                                      | immersiveengineering:main/craft_workbench         |
| immersiveengineering:main/craft_skyhook                            | [Booker, catch!]                                                   | Craft the Engineer's Skyhook                                                                                            | immersiveengineering:main/craft_workbench         |
| immersiveengineering:main/craft_wolfpack                           | [Beauty in Destruction]                                            | Craft a Wolfpack Cartridge                                                                                              | immersiveengineering:main/craft_revolver          |
| immersiveengineering:main/craft_workbench                          | [Time to Tinker]                                                   | Craft an Engineer's Workbench                                                                                           | immersiveengineering:main/root                    |
| immersiveengineering:main/make_steel                               | [The Upgrade]                                                      | Create a Steel Ingot                                                                                                    | immersiveengineering:main/multiblock_blastfurnace |
| immersiveengineering:main/multiblock_arcfurnace                    | [The Hottest Topic]                                                | Form the Arc Furnace Multiblock                                                                                         | immersiveengineering:main/make_steel              |
| immersiveengineering:main/multiblock_blastfurnace                  | [Really Hot Topic]                                                 | Create a Blast Furnace                                                                                                  | immersiveengineering:main/craft_hammer            |
| immersiveengineering:main/multiblock_crusher                       | [Hazardous Machinery]                                              | Form the Crusher Multiblock                                                                                             | immersiveengineering:main/make_steel              |
| immersiveengineering:main/multiblock_dieselgenerator               | [Bad for the Environment]                                          | Form the Diesel Generator Multiblock                                                                                    | immersiveengineering:main/make_steel              |
| immersiveengineering:main/multiblock_excavator                     | [Diggy Diggy Hole]                                                 | Form the Excavator Multiblock                                                                                           | immersiveengineering:main/make_steel              |
| immersiveengineering:main/multiblock_improvedblastfurnace          | [Next Level Blasting]                                              | Form the Improved Blast Furnace                                                                                         | immersiveengineering:main/make_steel              |
| immersiveengineering:main/multiblock_metalpress                    | [Pressing matters]                                                 | Form the Metal Press                                                                                                    | immersiveengineering:main/make_steel              |
| immersiveengineering:main/multiblock_silo                          | [Sheetmetal Stash]                                                 | Form the Silo Multiblock                                                                                                | immersiveengineering:main/make_steel              |
| immersiveengineering:main/place_conveyor                           | [Road to nowhere]                                                  | Place a Conveyor Belt                                                                                                   | immersiveengineering:main/root                    |
| immersiveengineering:main/place_floodlight                         | [Aziz! Light!]                                                     | Place a Floodlight                                                                                                      | immersiveengineering:main/connect_wire            |
| immersiveengineering:main/place_windmill                           | [Windmill for the land]                                            | Place a Windmill                                                                                                        | immersiveengineering:main/root                    |
| immersiveengineering:main/root                                     | [Immersive Engineering]                                            | RTFM!                                                                                                                   | -                                                 |
| immersiveengineering:main/secret_birthdayparty                     | [Grunt Birthday Party]                                             | Light a match...                                                                                                        | immersiveengineering:main/craft_revolver          |
| immersiveengineering:main/secret_drillbreak                        | [GIGA...DRILL...BREAKER!!!]                                        | JUST WHO THE HELL DO YOU THINK I AM?!                                                                                   | immersiveengineering:main/root                    |
| immersiveengineering:main/secret_luckofthedraw                     | [Luck of the Draw]                                                 | All or nothing                                                                                                          | immersiveengineering:main/root                    |
| immersiveengineering:main/upgrade_drill                            | [Big Daddy]                                                        | Apply the maximum Upgrades to the Mining Drill                                                                          | immersiveengineering:main/craft_drill             |
| immersiveengineering:main/upgrade_revolver                         | [Shalashaska]                                                      | Apply the maximum Upgrades to the Revolver                                                                              | immersiveengineering:main/craft_revolver          |
| improvedbackpacks:main/craft_backpack                              | [Backpack]                                                         | Make your first backpack                                                                                                | improvedbackpacks:main/root                       |
| improvedbackpacks:main/root                                        | [Improved Backpacks]                                               | Pocket storage                                                                                                          | -                                                 |
| improvedbackpacks:main/upgrade_backpack                            | [Upgrade Backpack]                                                 | Use an upgrade on Backpack                                                                                              | improvedbackpacks:main/craft_backpack             |
| inventorypets:inventorypets/aoe                                    | [Effective]                                                        | Acquire all of the AOE Pets                                                                                             | inventorypets:inventorypets/root                  |
| inventorypets:inventorypets/fan                                    | [True Fan]                                                         | Acquire all of the Fan-Suggested Pets                                                                                   | inventorypets:inventorypets/root                  |
| inventorypets:inventorypets/legend                                 | [Legendary]                                                        | Acquire all of the Legendary Pets                                                                                       | inventorypets:inventorypets/root                  |
| inventorypets:inventorypets/mob                                    | [Mobster]                                                          | Acquire all of the Mob Pets                                                                                             | inventorypets:inventorypets/root                  |
| inventorypets:inventorypets/peaceful                               | [Pacifist]                                                         | Acquire all of the Peaceful Pets                                                                                        | inventorypets:inventorypets/root                  |
| inventorypets:inventorypets/root                                   | [Inventory Pets]                                                   | Acquire Them All!                                                                                                       | -                                                 |
| inventorypets:inventorypets/specialist                             | [Specialist]                                                       | Acquire all of the Special Pets                                                                                         | inventorypets:inventorypets/root                  |
| inventorypets:inventorypets/utilitarian                            | [Utilitarian]                                                      | Acquire all of the Utility Pets                                                                                         | inventorypets:inventorypets/root                  |
| midnight:midnight/inebriated                                       | [Inebriated]                                                       | Break a Suavis plant                                                                                                    | midnight:midnight/root                            |
| midnight:midnight/root                                             | [The Midnight]                                                     | Lights out!                                                                                                             | -                                                 |
| midnight:midnight/shroomikens                                      | [Shroomikens]                                                      | Throw a Bladeshroom Cap                                                                                                 | midnight:midnight/root                            |
| midnight:midnight/snapped_by_snapper                               | [Payback]                                                          | Get bitten by a deceitful snapper upon trying to eat it                                                                 | midnight:midnight/root                            |
| midnight:midnight/surface_biomes                                   | [Nightwalker]                                                      | Traverse every surface biome and sub-biome in midnight                                                                  | midnight:midnight/root                            |
| midnight:midnight/thrown_geode                                     | [Cracked Up]                                                       | Break open a geode by throwing it at something tough                                                                    | midnight:midnight/root                            |
| midnight:midnight/violeaf                                          | [Herbal Remedy ]                                                   | Be cured of the nausea effect by walking through a violeaf plant                                                        | midnight:midnight/inebriated                      |
| midnight:midnight/your_highness                                    | [Your Highness]                                                    | Have every color of nightstag bow down to you                                                                           | midnight:midnight/root                            |
| midnight:recipes/bladeshroom_spores                                | midnight:recipes/bladeshroom_spores                                | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_any_midnight_wood                            | midnight:recipes/from_any_midnight_wood                            | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_any_unstable_fruit                           | midnight:recipes/from_any_unstable_fruit                           | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_archaic_glass                                | midnight:recipes/from_archaic_glass                                | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_archaic_shard                                | midnight:recipes/from_archaic_shard                                | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_bulb_fungus_hand                             | midnight:recipes/from_bulb_fungus_hand                             | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dark_pearl                                   | midnight:recipes/from_dark_pearl                                   | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dark_pearl_block                             | midnight:recipes/from_dark_pearl_block                             | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dark_stick                                   | midnight:recipes/from_dark_stick                                   | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dark_willow_log                              | midnight:recipes/from_dark_willow_log                              | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dark_willow_planks                           | midnight:recipes/from_dark_willow_planks                           | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dark_willow_planks_and_dark_stick            | midnight:recipes/from_dark_willow_planks_and_dark_stick            | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dead_wood_log                                | midnight:recipes/from_dead_wood_log                                | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dead_wood_planks                             | midnight:recipes/from_dead_wood_planks                             | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dead_wood_planks_and_dark_stick              | midnight:recipes/from_dead_wood_planks_and_dark_stick              | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dewshroom_planks                             | midnight:recipes/from_dewshroom_planks                             | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dewshroom_planks_and_dark_stick              | midnight:recipes/from_dewshroom_planks_and_dark_stick              | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dewshroom_stem                               | midnight:recipes/from_dewshroom_stem                               | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_dirt_and_peat                                | midnight:recipes/from_dirt_and_peat                                | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_ebonys                                       | midnight:recipes/from_ebonys                                       | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_ebonys_and_dark_stick                        | midnight:recipes/from_ebonys_and_dark_stick                        | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_ebonys_block                                 | midnight:recipes/from_ebonys_block                                 | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_nagrilite_block                              | midnight:recipes/from_nagrilite_block                              | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_nagrilite_ingot                              | midnight:recipes/from_nagrilite_ingot                              | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_nagrilite_ingot_and_dark_stick               | midnight:recipes/from_nagrilite_ingot_and_dark_stick               | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_nagrilite_nugget                             | midnight:recipes/from_nagrilite_nugget                             | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_nightshroom_planks                           | midnight:recipes/from_nightshroom_planks                           | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_nightshroom_planks_and_dark_stick            | midnight:recipes/from_nightshroom_planks_and_dark_stick            | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_nightshroom_stem                             | midnight:recipes/from_nightshroom_stem                             | <null>                                                                                                                  | midnight:recipes/root                             |
| midnight:recipes/from_nightstone                                   | midnight:recipes/from_nightstone                                   | <null>                                                                                                                  | midnight:recipes/root                             |
